entity,state,year,births_15_44,source_url,source_table
South Dakota,46,2007,12261,https://www.cdc.gov/nchs/data/nvsr/nvsr58/nvsr58_24.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Tennessee,47,2007,86711,https://www.cdc.gov/nchs/data/nvsr/nvsr58/nvsr58_24.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Texas,48,2007,407625,https://www.cdc.gov/nchs/data/nvsr/nvsr58/nvsr58_24.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Utah,49,2007,55130,https://www.cdc.gov/nchs/data/nvsr/nvsr58/nvsr58_24.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Vermont,50,2007,6513,https://www.cdc.gov/nchs/data/nvsr/nvsr58/nvsr58_24.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Virginia,51,2007,108884,https://www.cdc.gov/nchs/data/nvsr/nvsr58/nvsr58_24.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Washington,53,2007,88978,https://www.cdc.gov/nchs/data/nvsr/nvsr58/nvsr58_24.pdf,"NCHS final births by race and Hispanic origin, state of residence"
West Virginia,54,2007,21994,https://www.cdc.gov/nchs/data/nvsr/nvsr58/nvsr58_24.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Wisconsin,55,2007,72784,https://www.cdc.gov/nchs/data/nvsr/nvsr58/nvsr58_24.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Wyoming,56,2007,7893,https://www.cdc.gov/nchs/data/nvsr/nvsr58/nvsr58_24.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Alabama,01,2008,64546,https://www.cdc.gov/nchs/data/nvsr/nvsr59/nvsr59_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Alaska,02,2008,11442,https://www.cdc.gov/nchs/data/nvsr/nvsr59/nvsr59_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Arizona,04,2008,99442,https://www.cdc.gov/nchs/data/nvsr/nvsr59/nvsr59_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Arkansas,05,2008,40669,https://www.cdc.gov/nchs/data/nvsr/nvsr59/nvsr59_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
California,06,2008,551779,https://www.cdc.gov/nchs/data/nvsr/nvsr59/nvsr59_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Colorado,08,2008,70031,https://www.cdc.gov/nchs/data/nvsr/nvsr59/nvsr59_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Connecticut,09,2008,40399,https://www.cdc.gov/nchs/data/nvsr/nvsr59/nvsr59_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Delaware,10,2008,12090,https://www.cdc.gov/nchs/data/nvsr/nvsr59/nvsr59_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
District of Columbia,11,2008,9130,https://www.cdc.gov/nchs/data/nvsr/nvsr59/nvsr59_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Florida,12,2008,231445,https://www.cdc.gov/nchs/data/nvsr/nvsr59/nvsr59_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Georgia,13,2008,146603,https://www.cdc.gov/nchs/data/nvsr/nvsr59/nvsr59_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Hawaii,15,2008,19484,https://www.cdc.gov/nchs/data/nvsr/nvsr59/nvsr59_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Idaho,16,2008,25149,https://www.cdc.gov/nchs/data/nvsr/nvsr59/nvsr59_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Illinois,17,2008,176795,https://www.cdc.gov/nchs/data/nvsr/nvsr59/nvsr59_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Indiana,18,2008,88742,https://www.cdc.gov/nchs/data/nvsr/nvsr59/nvsr59_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Iowa,19,2008,40224,https://www.cdc.gov/nchs/data/nvsr/nvsr59/nvsr59_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Kansas,20,2008,41833,https://www.cdc.gov/nchs/data/nvsr/nvsr59/nvsr59_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Kentucky,21,2008,58375,https://www.cdc.gov/nchs/data/nvsr/nvsr59/nvsr59_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Louisiana,22,2008,65268,https://www.cdc.gov/nchs/data/nvsr/nvsr59/nvsr59_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Maine,23,2008,13609,https://www.cdc.gov/nchs/data/nvsr/nvsr59/nvsr59_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Maryland,24,2008,77289,https://www.cdc.gov/nchs/data/nvsr/nvsr59/nvsr59_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Massachusetts,25,2008,77022,https://www.cdc.gov/nchs/data/nvsr/nvsr59/nvsr59_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Michigan,26,2008,121127,https://www.cdc.gov/nchs/data/nvsr/nvsr59/nvsr59_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Minnesota,27,2008,72421,https://www.cdc.gov/nchs/data/nvsr/nvsr59/nvsr59_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Mississippi,28,2008,44947,https://www.cdc.gov/nchs/data/nvsr/nvsr59/nvsr59_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Missouri,29,2008,80963,https://www.cdc.gov/nchs/data/nvsr/nvsr59/nvsr59_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Montana,30,2008,12594,https://www.cdc.gov/nchs/data/nvsr/nvsr59/nvsr59_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Nebraska,31,2008,26989,https://www.cdc.gov/nchs/data/nvsr/nvsr59/nvsr59_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Nevada,32,2008,39506,https://www.cdc.gov/nchs/data/nvsr/nvsr59/nvsr59_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
