entity,state,year,births_15_44,source_url,source_table
Montana,30,2010,12060,https://www.cdc.gov/nchs/data/nvsr/nvsr61/nvsr61_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Nebraska,31,2010,25918,https://www.cdc.gov/nchs/data/nvsr/nvsr61/nvsr61_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Nevada,32,2010,35934,https://www.cdc.gov/nchs/data/nvsr/nvsr61/nvsr61_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
New Hampshire,33,2010,12874,https://www.cdc.gov/nchs/data/nvsr/nvsr61/nvsr61_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
New Jersey,34,2010,106922,https://www.cdc.gov/nchs/data/nvsr/nvsr61/nvsr61_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
New Mexico,35,2010,27850,https://www.cdc.gov/nchs/data/nvsr/nvsr61/nvsr61_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
New York,36,2010,244375,https://www.cdc.gov/nchs/data/nvsr/nvsr61/nvsr61_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
North Carolina,37,2010,122350,https://www.cdc.gov/nchs/data/nvsr/nvsr61/nvsr61_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
North Dakota,38,2010,9104,https://www.cdc.gov/nchs/data/nvsr/nvsr61/nvsr61_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Ohio,39,2010,139128,https://www.cdc.gov/nchs/data/nvsr/nvsr61/nvsr61_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Oklahoma,40,2010,53238,https://www.cdc.gov/nchs/data/nvsr/nvsr61/nvsr61_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Oregon,41,2010,45540,https://www.cdc.gov/nchs/data/nvsr/nvsr61/nvsr61_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Pennsylvania,42,2010,143321,https://www.cdc.gov/nchs/data/nvsr/nvsr61/nvsr61_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Rhode Island,44,2010,11177,https://www.cdc.gov/nchs/data/nvsr/nvsr61/nvsr61_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
South Carolina,45,2010,58342,https://www.cdc.gov/nchs/data/nvsr/nvsr61/nvsr61_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
South Dakota,46,2010,11811,https://www.cdc.gov/nchs/data/nvsr/nvsr61/nvsr61_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Tennessee,47,2010,79495,https://www.cdc.gov/nchs/data/nvsr/nvsr61/nvsr61_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Texas,48,2010,386118,https://www.cdc.gov/nchs/data/nvsr/nvsr61/nvsr61_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Utah,49,2010,52258,https://www.cdc.gov/nchs/data/nvsr/nvsr61/nvsr61_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Vermont,50,2010,6223,https://www.cdc.gov/nchs/data/nvsr/nvsr61/nvsr61_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Virginia,51,2010,103002,https://www.cdc.gov/nchs/data/nvsr/nvsr61/nvsr61_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Washington,53,2010,86539,https://www.cdc.gov/nchs/data/nvsr/nvsr61/nvsr61_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
West Virginia,54,2010,20470,https://www.cdc.gov/nchs/data/nvsr/nvsr61/nvsr61_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Wisconsin,55,2010,68487,https://www.cdc.gov/nchs/data/nvsr/nvsr61/nvsr61_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Wyoming,56,2010,7556,https://www.cdc.gov/nchs/data/nvsr/nvsr61/nvsr61_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Alabama,01,2011,59354,https://www.cdc.gov/nchs/data/nvsr/nvsr62/nvsr62_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Alaska,02,2011,11456,https://www.cdc.gov/nchs/data/nvsr/nvsr62/nvsr62_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Arizona,04,2011,85543,https://www.cdc.gov/nchs/data/nvsr/nvsr62/nvsr62_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Arkansas,05,2011,38715,https://www.cdc.gov/nchs/data/nvsr/nvsr62/nvsr62_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
California,06,2011,502120,https://www.cdc.gov/nchs/data/nvsr/nvsr62/nvsr62_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Colorado,08,2011,65055,https://www.cdc.gov/nchs/data/nvsr/nvsr62/nvsr62_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Connecticut,09,2011,37281,https://www.cdc.gov/nchs/data/nvsr/nvsr62/nvsr62_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Delaware,10,2011,11257,https://www.cdc.gov/nchs/data/nvsr/nvsr62/nvsr62_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
District of Columbia,11,2011,9295,https://www.cdc.gov/nchs/data/nvsr/nvsr62/nvsr62_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Florida,12,2011,213414,https://www.cdc.gov/nchs/data/nvsr/nvsr62/nvsr62_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Georgia,13,2011,132409,https://www.cdc.gov/nchs/data/nvsr/nvsr62/nvsr62_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Hawaii,15,2011,18956,https://www.cdc.gov/nchs/data/nvsr/nvsr62/nvsr62_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Idaho,16,2011,22305,https://www.cdc.gov/nchs/data/nvsr/nvsr62/nvsr62_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Illinois,17,2011,161312,https://www.cdc.gov/nchs/data/nvsr/nvsr62/nvsr62_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Indiana,18,2011,83701,https://www.cdc.gov/nchs/data/nvsr/nvsr62/nvsr62_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Iowa,19,2011,38214,https://www.cdc.gov/nchs/data/nvsr/nvsr62/nvsr62_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Kansas,20,2011,39642,https://www.cdc.gov/nchs/data/nvsr/nvsr62/nvsr62_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Kentucky,21,2011,55370,https://www.cdc.gov/nchs/data/nvsr/nvsr62/nvsr62_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Louisiana,22,2011,61888,https://www.cdc.gov/nchs/data/nvsr/nvsr62/nvsr62_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Maine,23,2011,12704,https://www.cdc.gov/nchs/data/nvsr/nvsr62/nvsr62_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Maryland,24,2011,73093,https://www.cdc.gov/nchs/data/nvsr/nvsr62/nvsr62_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Massachusetts,25,2011,73166,https://www.cdc.gov/nchs/data/nvsr/nvsr62/nvsr62_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Michigan,26,2011,114008,https://www.cdc.gov/nchs/data/nvsr/nvsr62/nvsr62_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Minnesota,27,2011,68409,https://www.cdc.gov/nchs/data/nvsr/nvsr62/nvsr62_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Mississippi,28,2011,39860,https://www.cdc.gov/nchs/data/nvsr/nvsr62/nvsr62_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Missouri,29,2011,76117,https://www.cdc.gov/nchs/data/nvsr/nvsr62/nvsr62_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Montana,30,2011,12069,https://www.cdc.gov/nchs/data/nvsr/nvsr62/nvsr62_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Nebraska,31,2011,25720,https://www.cdc.gov/nchs/data/nvsr/nvsr62/nvsr62_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Nevada,32,2011,35296,https://www.cdc.gov/nchs/data/nvsr/nvsr62/nvsr62_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
New Hampshire,33,2011,12851,https://www.cdc.gov/nchs/data/nvsr/nvsr62/nvsr62_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
New Jersey,34,2011,105883,https://www.cdc.gov/nchs/data/nvsr/nvsr62/nvsr62_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
New Mexico,35,2011,27289,https://www.cdc.gov/nchs/data/nvsr/nvsr62/nvsr62_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
New York,36,2011,241312,https://www.cdc.gov/nchs/data/nvsr/nvsr62/nvsr62_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
North Carolina,37,2011,120389,https://www.cdc.gov/nchs/data/nvsr/nvsr62/nvsr62_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
North Dakota,38,2011,9527,https://www.cdc.gov/nchs/data/nvsr/nvsr62/nvsr62_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Ohio,39,2011,137918,https://www.cdc.gov/nchs/data/nvsr/nvsr62/nvsr62_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Oklahoma,40,2011,52272,https://www.cdc.gov/nchs/data/nvsr/nvsr62/nvsr62_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Oregon,41,2011,45155,https://www.cdc.gov/nchs/data/nvsr/nvsr62/nvsr62_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Pennsylvania,42,2011,143178,https://www.cdc.gov/nchs/data/nvsr/nvsr62/nvsr62_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Rhode Island,44,2011,10960,https://www.cdc.gov/nchs/data/nvsr/nvsr62/nvsr62_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
South Carolina,45,2011,57393,https://www.cdc.gov/nchs/data/nvsr/nvsr62/nvsr62_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
South Dakota,46,2011,11846,https://www.cdc.gov/nchs/data/nvsr/nvsr62/nvsr62_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Tennessee,47,2011,79588,https://www.cdc.gov/nchs/data/nvsr/nvsr62/nvsr62_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Texas,48,2011,377445,https://www.cdc.gov/nchs/data/nvsr/nvsr62/nvsr62_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Utah,49,2011,51223,https://www.cdc.gov/nchs/data/nvsr/nvsr62/nvsr62_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Vermont,50,2011,6078,https://www.cdc.gov/nchs/data/nvsr/nvsr62/nvsr62_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Virginia,51,2011,102652,https://www.cdc.gov/nchs/data/nvsr/nvsr62/nvsr62_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Washington,53,2011,86976,https://www.cdc.gov/nchs/data/nvsr/nvsr62/nvsr62_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
West Virginia,54,2011,20717,https://www.cdc.gov/nchs/data/nvsr/nvsr62/nvsr62_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Wisconsin,55,2011,67810,https://www.cdc.gov/nchs/data/nvsr/nvsr62/nvsr62_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Wyoming,56,2011,7399,https://www.cdc.gov/nchs/data/nvsr/nvsr62/nvsr62_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Alabama,01,2012,58448,https://www.cdc.gov/nchs/data/nvsr/nvsr62/nvsr62_09.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Alaska,02,2012,11187,https://www.cdc.gov/nchs/data/nvsr/nvsr62/nvsr62_09.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Arizona,04,2012,86441,https://www.cdc.gov/nchs/data/nvsr/nvsr62/nvsr62_09.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Arkansas,05,2012,38347,https://www.cdc.gov/nchs/data/nvsr/nvsr62/nvsr62_09.pdf,"NCHS final births by race and Hispanic origin, state of residence"
California,06,2012,503755,https://www.cdc.gov/nchs/data/nvsr/nvsr62/nvsr62_09.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Colorado,08,2012,65187,https://www.cdc.gov/nchs/data/nvsr/nvsr62/nvsr62_09.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Connecticut,09,2012,36539,https://www.cdc.gov/nchs/data/nvsr/nvsr62/nvsr62_09.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Delaware,10,2012,11023,https://www.cdc.gov/nchs/data/nvsr/nvsr62/nvsr62_09.pdf,"NCHS final births by race and Hispanic origin, state of residence"
District of Columbia,11,2012,9399,https://www.cdc.gov/nchs/data/nvsr/nvsr62/nvsr62_09.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Florida,12,2012,213148,https://www.cdc.gov/nchs/data/nvsr/nvsr62/nvsr62_09.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Georgia,13,2012,130280,https://www.cdc.gov/nchs/data/nvsr/nvsr62/nvsr62_09.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Hawaii,15,2012,18980,https://www.cdc.gov/nchs/data/nvsr/nvsr62/nvsr62_09.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Idaho,16,2012,22963,https://www.cdc.gov/nchs/data/nvsr/nvsr62/nvsr62_09.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Illinois,17,2012,159160,https://www.cdc.gov/nchs/data/nvsr/nvsr62/nvsr62_09.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Indiana,18,2012,83227,https://www.cdc.gov/nchs/data/nvsr/nvsr62/nvsr62_09.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Iowa,19,2012,38702,https://www.cdc.gov/nchs/data/nvsr/nvsr62/nvsr62_09.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Kansas,20,2012,40341,https://www.cdc.gov/nchs/data/nvsr/nvsr62/nvsr62_09.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Kentucky,21,2012,55758,https://www.cdc.gov/nchs/data/nvsr/nvsr62/nvsr62_09.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Louisiana,22,2012,62642,https://www.cdc.gov/nchs/data/nvsr/nvsr62/nvsr62_09.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Maine,23,2012,12798,https://www.cdc.gov/nchs/data/nvsr/nvsr62/nvsr62_09.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Maryland,24,2012,72883,https://www.cdc.gov/nchs/data/nvsr/nvsr62/nvsr62_09.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Massachusetts,25,2012,72439,https://www.cdc.gov/nchs/data/nvsr/nvsr62/nvsr62_09.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Michigan,26,2012,113091,https://www.cdc.gov/nchs/data/nvsr/nvsr62/nvsr62_09.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Minnesota,27,2012,68772,https://www.cdc.gov/nchs/data/nvsr/nvsr62/nvsr62_09.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Mississippi,28,2012,38669,https://www.cdc.gov/nchs/data/nvsr/nvsr62/nvsr62_09.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Missouri,29,2012,75446,https://www.cdc.gov/nchs/data/nvsr/nvsr62/nvsr62_09.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Montana,30,2012,12118,https://www.cdc.gov/nchs/data/nvsr/nvsr62/nvsr62_09.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Nebraska,31,2012,25942,https://www.cdc.gov/nchs/data/nvsr/nvsr62/nvsr62_09.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Nevada,32,2012,34911,https://www.cdc.gov/nchs/data/nvsr/nvsr62/nvsr62_09.pdf,"NCHS final births by race and Hispanic origin, state of residence"
New Hampshire,33,2012,12352,https://www.cdc.gov/nchs/data/nvsr/nvsr62/nvsr62_09.pdf,"NCHS final births by race and Hispanic origin, state of residence"
New Jersey,34,2012,104230,https://www.cdc.gov/nchs/data/nvsr/nvsr62/nvsr62_09.pdf,"NCHS final births by race and Hispanic origin, state of residence"
New Mexico,35,2012,27068,https://www.cdc.gov/nchs/data/nvsr/nvsr62/nvsr62_09.pdf,"NCHS final births by race and Hispanic origin, state of residence"
New York,36,2012,240916,https://www.cdc.gov/nchs/data/nvsr/nvsr62/nvsr62_09.pdf,"NCHS final births by race and Hispanic origin, state of residence"
North Carolina,37,2012,119831,https://www.cdc.gov/nchs/data/nvsr/nvsr62/nvsr62_09.pdf,"NCHS final births by race and Hispanic origin, state of residence"
North Dakota,38,2012,10106,https://www.cdc.gov/nchs/data/nvsr/nvsr62/nvsr62_09.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Ohio,39,2012,138483,https://www.cdc.gov/nchs/data/nvsr/nvsr62/nvsr62_09.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Oklahoma,40,2012,52751,https://www.cdc.gov/nchs/data/nvsr/nvsr62/nvsr62_09.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Oregon,41,2012,45067,https://www.cdc.gov/nchs/data/nvsr/nvsr62/nvsr62_09.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Pennsylvania,42,2012,142514,https://www.cdc.gov/nchs/data/nvsr/nvsr62/nvsr62_09.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Rhode Island,44,2012,10926,https://www.cdc.gov/nchs/data/nvsr/nvsr62/nvsr62_09.pdf,"NCHS final births by race and Hispanic origin, state of residence"
South Carolina,45,2012,57155,https://www.cdc.gov/nchs/data/nvsr/nvsr62/nvsr62_09.pdf,"NCHS final births by race and Hispanic origin, state of residence"
South Dakota,46,2012,12104,https://www.cdc.gov/nchs/data/nvsr/nvsr62/nvsr62_09.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Tennessee,47,2012,80371,https://www.cdc.gov/nchs/data/nvsr/nvsr62/nvsr62_09.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Texas,48,2012,382727,https://www.cdc.gov/nchs/data/nvsr/nvsr62/nvsr62_09.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Utah,49,2012,51465,https://www.cdc.gov/nchs/data/nvsr/nvsr62/nvsr62_09.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Vermont,50,2012,6009,https://www.cdc.gov/nchs/data/nvsr/nvsr62/nvsr62_09.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Virginia,51,2012,103013,https://www.cdc.gov/nchs/data/nvsr/nvsr62/nvsr62_09.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Washington,53,2012,87463,https://www.cdc.gov/nchs/data/nvsr/nvsr62/nvsr62_09.pdf,"NCHS final births by race and Hispanic origin, state of residence"
West Virginia,54,2012,20827,https://www.cdc.gov/nchs/data/nvsr/nvsr62/nvsr62_09.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Wisconsin,55,2012,67295,https://www.cdc.gov/nchs/data/nvsr/nvsr62/nvsr62_09.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Wyoming,56,2012,7572,https://www.cdc.gov/nchs/data/nvsr/nvsr62/nvsr62_09.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Alabama,01,2013,58167,https://www.cdc.gov/nchs/data/nvsr/nvsr64/nvsr64_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Alaska,02,2013,11446,https://www.cdc.gov/nchs/data/nvsr/nvsr64/nvsr64_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Arizona,04,2013,85600,https://www.cdc.gov/nchs/data/nvsr/nvsr64/nvsr64_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Arkansas,05,2013,37832,https://www.cdc.gov/nchs/data/nvsr/nvsr64/nvsr64_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
California,06,2013,494705,https://www.cdc.gov/nchs/data/nvsr/nvsr64/nvsr64_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Colorado,08,2013,65007,https://www.cdc.gov/nchs/data/nvsr/nvsr64/nvsr64_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Connecticut,09,2013,36085,https://www.cdc.gov/nchs/data/nvsr/nvsr64/nvsr64_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Delaware,10,2013,10831,https://www.cdc.gov/nchs/data/nvsr/nvsr64/nvsr64_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
District of Columbia,11,2013,9288,https://www.cdc.gov/nchs/data/nvsr/nvsr64/nvsr64_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Florida,12,2013,215407,https://www.cdc.gov/nchs/data/nvsr/nvsr64/nvsr64_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Georgia,13,2013,128748,https://www.cdc.gov/nchs/data/nvsr/nvsr64/nvsr64_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Hawaii,15,2013,18987,https://www.cdc.gov/nchs/data/nvsr/nvsr64/nvsr64_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Idaho,16,2013,22383,https://www.cdc.gov/nchs/data/nvsr/nvsr64/nvsr64_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Illinois,17,2013,156931,https://www.cdc.gov/nchs/data/nvsr/nvsr64/nvsr64_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Indiana,18,2013,83102,https://www.cdc.gov/nchs/data/nvsr/nvsr64/nvsr64_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Iowa,19,2013,39094,https://www.cdc.gov/nchs/data/nvsr/nvsr64/nvsr64_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Kansas,20,2013,38839,https://www.cdc.gov/nchs/data/nvsr/nvsr64/nvsr64_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Kentucky,21,2013,55686,https://www.cdc.gov/nchs/data/nvsr/nvsr64/nvsr64_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Louisiana,22,2013,63201,https://www.cdc.gov/nchs/data/nvsr/nvsr64/nvsr64_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Maine,23,2013,12776,https://www.cdc.gov/nchs/data/nvsr/nvsr64/nvsr64_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Maryland,24,2013,71953,https://www.cdc.gov/nchs/data/nvsr/nvsr64/nvsr64_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Massachusetts,25,2013,71788,https://www.cdc.gov/nchs/data/nvsr/nvsr64/nvsr64_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Michigan,26,2013,113489,https://www.cdc.gov/nchs/data/nvsr/nvsr64/nvsr64_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Minnesota,27,2013,69159,https://www.cdc.gov/nchs/data/nvsr/nvsr64/nvsr64_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Mississippi,28,2013,38634,https://www.cdc.gov/nchs/data/nvsr/nvsr64/nvsr64_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Missouri,29,2013,75296,https://www.cdc.gov/nchs/data/nvsr/nvsr64/nvsr64_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Montana,30,2013,12377,https://www.cdc.gov/nchs/data/nvsr/nvsr64/nvsr64_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Nebraska,31,2013,26095,https://www.cdc.gov/nchs/data/nvsr/nvsr64/nvsr64_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Nevada,32,2013,35030,https://www.cdc.gov/nchs/data/nvsr/nvsr64/nvsr64_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
New Hampshire,33,2013,12396,https://www.cdc.gov/nchs/data/nvsr/nvsr64/nvsr64_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
New Jersey,34,2013,102575,https://www.cdc.gov/nchs/data/nvsr/nvsr64/nvsr64_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
New Mexico,35,2013,26354,https://www.cdc.gov/nchs/data/nvsr/nvsr64/nvsr64_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
New York,36,2013,236980,https://www.cdc.gov/nchs/data/nvsr/nvsr64/nvsr64_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
North Carolina,37,2013,119002,https://www.cdc.gov/nchs/data/nvsr/nvsr64/nvsr64_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
North Dakota,38,2013,10599,https://www.cdc.gov/nchs/data/nvsr/nvsr64/nvsr64_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Ohio,39,2013,138936,https://www.cdc.gov/nchs/data/nvsr/nvsr64/nvsr64_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Oklahoma,40,2013,53369,https://www.cdc.gov/nchs/data/nvsr/nvsr64/nvsr64_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Oregon,41,2013,45155,https://www.cdc.gov/nchs/data/nvsr/nvsr64/nvsr64_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Pennsylvania,42,2013,140921,https://www.cdc.gov/nchs/data/nvsr/nvsr64/nvsr64_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Rhode Island,44,2013,10809,https://www.cdc.gov/nchs/data/nvsr/nvsr64/nvsr64_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
South Carolina,45,2013,56795,https://www.cdc.gov/nchs/data/nvsr/nvsr64/nvsr64_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
South Dakota,46,2013,12248,https://www.cdc.gov/nchs/data/nvsr/nvsr64/nvsr64_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Tennessee,47,2013,79992,https://www.cdc.gov/nchs/data/nvsr/nvsr64/nvsr64_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Texas,48,2013,387340,https://www.cdc.gov/nchs/data/nvsr/nvsr64/nvsr64_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Utah,49,2013,50957,https://www.cdc.gov/nchs/data/nvsr/nvsr64/nvsr64_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Vermont,50,2013,5975,https://www.cdc.gov/nchs/data/nvsr/nvsr64/nvsr64_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Virginia,51,2013,102147,https://www.cdc.gov/nchs/data/nvsr/nvsr64/nvsr64_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Washington,53,2013,86577,https://www.cdc.gov/nchs/data/nvsr/nvsr64/nvsr64_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
West Virginia,54,2013,20825,https://www.cdc.gov/nchs/data/nvsr/nvsr64/nvsr64_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Wisconsin,55,2013,66649,https://www.cdc.gov/nchs/data/nvsr/nvsr64/nvsr64_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Wyoming,56,2013,7644,https://www.cdc.gov/nchs/data/nvsr/nvsr64/nvsr64_01.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Alabama,01,2014,59422,https://www.cdc.gov/nchs/data/nvsr/nvsr64/nvsr64_12.pdf,"NCHS final births by race and Hispanic origin, state of residence"
Alaska,02,2014,11392,https://www.cdc.gov/nchs/data/nvsr/nvsr64/nvsr64_12.pdf,"NCHS final births by race and Hispanic origin, state of residence"
