country,entity,state,year,marital,parity,births_15_44,female_15_44,asfr_15_44
United States,Oregon,41,2008,all,all,49096.0,750674.0,65.40255823433341
United States,Pennsylvania,42,2008,all,all,149273.0,2450528.0,60.91462737826297
United States,Rhode Island,44,2008,all,all,12048.0,215905.0,55.802320465019335
United States,South Carolina,45,2008,all,all,63071.0,913249.0,69.06221632873401
United States,South Dakota,46,2008,all,all,12071.0,153509.0,78.63382602974418
United States,Tennessee,47,2008,all,all,85560.0,1272175.0,67.25489810757168
United States,Texas,48,2008,all,all,405554.0,5124911.0,79.13386203194553
United States,Utah,49,2008,all,all,55634.0,600579.0,92.63394157970892
United States,Vermont,50,2008,all,all,6339.0,121654.0,52.10679467999408
United States,Virginia,51,2008,all,all,106686.0,1629744.0,65.46181486172061
United States,Washington,53,2008,all,all,90321.0,1335227.0,67.64467764657245
United States,West Virginia,54,2008,all,all,21501.0,346045.0,62.13353754569492
United States,Wisconsin,55,2008,all,all,72261.0,1118511.0,64.60463956098778
United States,Wyoming,56,2008,all,all,8038.0,103257.0,77.84460133453422
United States,Alabama,01,2009,all,all,62475.0,950315.0,65.74135944397385
United States,Alaska,02,2009,all,all,11324.0,144562.0,78.33317192623235
United States,Arizona,04,2009,all,all,92798.0,1298072.0,71.48910075866362
United States,Arkansas,05,2009,all,all,39808.0,568411.0,70.03383115386578
United States,California,06,2009,all,all,527020.0,7693697.0,68.50022817378954
United States,Colorado,08,2009,all,all,68628.0,1027293.0,66.80469934088912
United States,Connecticut,09,2009,all,all,38896.0,688265.0,56.51311631421037
United States,Delaware,10,2009,all,all,11559.0,176795.0,65.38080828077717
United States,District of Columbia,11,2009,all,all,9040.0,150841.0,59.93065545839659
United States,Florida,12,2009,all,all,221394.0,3483271.0,63.559223499980334
United States,Georgia,13,2009,all,all,141377.0,2089095.0,67.67380133502785
United States,Hawaii,15,2009,all,all,18887.0,249213.0,75.78657614169406
United States,Idaho,16,2009,all,all,23737.0,306453.0,77.45722835149273
United States,Illinois,17,2009,all,all,171163.0,2646520.0,64.67474268095461
United States,Indiana,18,2009,all,all,86673.0,1281738.0,67.62146398093837
United States,Iowa,19,2009,all,all,39701.0,577743.0,68.7174054899843
United States,Kansas,20,2009,all,all,41396.0,553980.0,74.72471930394599
