country,state,entity,year,age,age_band,marital,parity,exposure,source,allocation
United States,55,Wisconsin,2018,15,15_17,married,all,292.3333333333333,Census ACS1 B12002,uniform_within_band
United States,55,Wisconsin,2018,15,15_17,unmarried,all,36433.666666666664,Census ACS1 B12002,uniform_within_band
United States,55,Wisconsin,2018,16,15_17,married,all,292.3333333333333,Census ACS1 B12002,uniform_within_band
United States,55,Wisconsin,2018,16,15_17,unmarried,all,36433.666666666664,Census ACS1 B12002,uniform_within_band
United States,55,Wisconsin,2018,17,15_17,married,all,292.3333333333333,Census ACS1 B12002,uniform_within_band
United States,55,Wisconsin,2018,17,15_17,unmarried,all,36433.666666666664,Census ACS1 B12002,uniform_within_band
United States,55,Wisconsin,2018,18,18_19,married,all,514.5,Census ACS1 B12002,uniform_within_band
United States,55,Wisconsin,2018,18,18_19,unmarried,all,37784.5,Census ACS1 B12002,uniform_within_band
United States,55,Wisconsin,2018,19,18_19,married,all,514.5,Census ACS1 B12002,uniform_within_band
United States,55,Wisconsin,2018,19,18_19,unmarried,all,37784.5,Census ACS1 B12002,uniform_within_band
United States,55,Wisconsin,2018,20,20_24,married,all,4080.0,Census ACS1 B12002,uniform_within_band
United States,55,Wisconsin,2018,20,20_24,unmarried,all,34437.4,Census ACS1 B12002,uniform_within_band
United States,55,Wisconsin,2018,21,20_24,married,all,4080.0,Census ACS1 B12002,uniform_within_band
United States,55,Wisconsin,2018,21,20_24,unmarried,all,34437.4,Census ACS1 B12002,uniform_within_band
United States,55,Wisconsin,2018,22,20_24,married,all,4080.0,Census ACS1 B12002,uniform_within_band
United States,55,Wisconsin,2018,22,20_24,unmarried,all,34437.4,Census ACS1 B12002,uniform_within_band
United States,55,Wisconsin,2018,23,20_24,married,all,4080.0,Census ACS1 B12002,uniform_within_band
United States,55,Wisconsin,2018,23,20_24,unmarried,all,34437.4,Census ACS1 B12002,uniform_within_band
United States,55,Wisconsin,2018,24,20_24,married,all,4080.0,Census ACS1 B12002,uniform_within_band
United States,55,Wisconsin,2018,24,20_24,unmarried,all,34437.4,Census ACS1 B12002,uniform_within_band
United States,55,Wisconsin,2018,25,25_29,married,all,13757.8,Census ACS1 B12002,uniform_within_band
United States,55,Wisconsin,2018,25,25_29,unmarried,all,22446.2,Census ACS1 B12002,uniform_within_band
United States,55,Wisconsin,2018,26,25_29,married,all,13757.8,Census ACS1 B12002,uniform_within_band
United States,55,Wisconsin,2018,26,25_29,unmarried,all,22446.2,Census ACS1 B12002,uniform_within_band
United States,55,Wisconsin,2018,27,25_29,married,all,13757.8,Census ACS1 B12002,uniform_within_band
United States,55,Wisconsin,2018,27,25_29,unmarried,all,22446.2,Census ACS1 B12002,uniform_within_band
United States,55,Wisconsin,2018,28,25_29,married,all,13757.8,Census ACS1 B12002,uniform_within_band
United States,55,Wisconsin,2018,28,25_29,unmarried,all,22446.2,Census ACS1 B12002,uniform_within_band
United States,55,Wisconsin,2018,29,25_29,married,all,13757.8,Census ACS1 B12002,uniform_within_band
United States,55,Wisconsin,2018,29,25_29,unmarried,all,22446.2,Census ACS1 B12002,uniform_within_band
United States,55,Wisconsin,2018,30,30_34,married,all,21091.6,Census ACS1 B12002,uniform_within_band
United States,55,Wisconsin,2018,30,30_34,unmarried,all,14591.0,Census ACS1 B12002,uniform_within_band
United States,55,Wisconsin,2018,31,30_34,married,all,21091.6,Census ACS1 B12002,uniform_within_band
United States,55,Wisconsin,2018,31,30_34,unmarried,all,14591.0,Census ACS1 B12002,uniform_within_band
United States,55,Wisconsin,2018,32,30_34,married,all,21091.6,Census ACS1 B12002,uniform_within_band
United States,55,Wisconsin,2018,32,30_34,unmarried,all,14591.0,Census ACS1 B12002,uniform_within_band
United States,55,Wisconsin,2018,33,30_34,married,all,21091.6,Census ACS1 B12002,uniform_within_band
United States,55,Wisconsin,2018,33,30_34,unmarried,all,14591.0,Census ACS1 B12002,uniform_within_band
United States,55,Wisconsin,2018,34,30_34,married,all,21091.6,Census ACS1 B12002,uniform_within_band
United States,55,Wisconsin,2018,34,30_34,unmarried,all,14591.0,Census ACS1 B12002,uniform_within_band
United States,55,Wisconsin,2018,35,35_39,married,all,23783.6,Census ACS1 B12002,uniform_within_band
United States,55,Wisconsin,2018,35,35_39,unmarried,all,12717.2,Census ACS1 B12002,uniform_within_band
United States,55,Wisconsin,2018,36,35_39,married,all,23783.6,Census ACS1 B12002,uniform_within_band
United States,55,Wisconsin,2018,36,35_39,unmarried,all,12717.2,Census ACS1 B12002,uniform_within_band
United States,55,Wisconsin,2018,37,35_39,married,all,23783.6,Census ACS1 B12002,uniform_within_band
United States,55,Wisconsin,2018,37,35_39,unmarried,all,12717.2,Census ACS1 B12002,uniform_within_band
United States,55,Wisconsin,2018,38,35_39,married,all,23783.6,Census ACS1 B12002,uniform_within_band
United States,55,Wisconsin,2018,38,35_39,unmarried,all,12717.2,Census ACS1 B12002,uniform_within_band
United States,55,Wisconsin,2018,39,35_39,married,all,23783.6,Census ACS1 B12002,uniform_within_band
United States,55,Wisconsin,2018,39,35_39,unmarried,all,12717.2,Census ACS1 B12002,uniform_within_band
United States,55,Wisconsin,2018,40,40_44,married,all,22565.2,Census ACS1 B12002,uniform_within_band
United States,55,Wisconsin,2018,40,40_44,unmarried,all,10768.6,Census ACS1 B12002,uniform_within_band
United States,55,Wisconsin,2018,41,40_44,married,all,22565.2,Census ACS1 B12002,uniform_within_band
United States,55,Wisconsin,2018,41,40_44,unmarried,all,10768.6,Census ACS1 B12002,uniform_within_band
United States,55,Wisconsin,2018,42,40_44,married,all,22565.2,Census ACS1 B12002,uniform_within_band
United States,55,Wisconsin,2018,42,40_44,unmarried,all,10768.6,Census ACS1 B12002,uniform_within_band
United States,55,Wisconsin,2018,43,40_44,married,all,22565.2,Census ACS1 B12002,uniform_within_band
United States,55,Wisconsin,2018,43,40_44,unmarried,all,10768.6,Census ACS1 B12002,uniform_within_band
United States,55,Wisconsin,2018,44,40_44,married,all,22565.2,Census ACS1 B12002,uniform_within_band
United States,55,Wisconsin,2018,44,40_44,unmarried,all,10768.6,Census ACS1 B12002,uniform_within_band
United States,56,Wyoming,2018,15,15_17,married,all,12.0,Census ACS1 B12002,uniform_within_band
United States,56,Wyoming,2018,15,15_17,unmarried,all,3672.0,Census ACS1 B12002,uniform_within_band
United States,56,Wyoming,2018,16,15_17,married,all,12.0,Census ACS1 B12002,uniform_within_band
United States,56,Wyoming,2018,16,15_17,unmarried,all,3672.0,Census ACS1 B12002,uniform_within_band
United States,56,Wyoming,2018,17,15_17,married,all,12.0,Census ACS1 B12002,uniform_within_band
United States,56,Wyoming,2018,17,15_17,unmarried,all,3672.0,Census ACS1 B12002,uniform_within_band
United States,56,Wyoming,2018,18,18_19,married,all,95.0,Census ACS1 B12002,uniform_within_band
United States,56,Wyoming,2018,18,18_19,unmarried,all,4247.0,Census ACS1 B12002,uniform_within_band
United States,56,Wyoming,2018,19,18_19,married,all,95.0,Census ACS1 B12002,uniform_within_band
United States,56,Wyoming,2018,19,18_19,unmarried,all,4247.0,Census ACS1 B12002,uniform_within_band
United States,56,Wyoming,2018,20,20_24,married,all,739.2,Census ACS1 B12002,uniform_within_band
United States,56,Wyoming,2018,20,20_24,unmarried,all,2647.4,Census ACS1 B12002,uniform_within_band
United States,56,Wyoming,2018,21,20_24,married,all,739.2,Census ACS1 B12002,uniform_within_band
United States,56,Wyoming,2018,21,20_24,unmarried,all,2647.4,Census ACS1 B12002,uniform_within_band
United States,56,Wyoming,2018,22,20_24,married,all,739.2,Census ACS1 B12002,uniform_within_band
