country,year,age,marital,parity,weight,source
United States,2018,35,married,third_plus,29266.816554951532,NSFG 2017-2019 FemPreg weighted
United States,2018,36,married,third_plus,39240.3170868664,NSFG 2017-2019 FemPreg weighted
United States,2018,38,married,third_plus,1340.862,NSFG 2017-2019 FemPreg weighted
United States,2018,40,married,third_plus,5113.42957930959,NSFG 2017-2019 FemPreg weighted
United States,2018,41,married,third_plus,21843.475928624,NSFG 2017-2019 FemPreg weighted
United States,2018,42,married,third_plus,73629.9323734155,NSFG 2017-2019 FemPreg weighted
United States,2018,17,unmarried,all,8945.99286328243,NSFG 2017-2019 FemPreg weighted
United States,2018,18,unmarried,all,31454.33418052159,NSFG 2017-2019 FemPreg weighted
United States,2018,19,unmarried,all,18585.30212729457,NSFG 2017-2019 FemPreg weighted
United States,2018,20,unmarried,all,28343.4230908763,NSFG 2017-2019 FemPreg weighted
United States,2018,21,unmarried,all,42044.72012911848,NSFG 2017-2019 FemPreg weighted
United States,2018,22,unmarried,all,61713.2712627565,NSFG 2017-2019 FemPreg weighted
United States,2018,23,unmarried,all,42935.218096713754,NSFG 2017-2019 FemPreg weighted
United States,2018,24,unmarried,all,94056.74767607683,NSFG 2017-2019 FemPreg weighted
United States,2018,25,unmarried,all,47607.22212232458,NSFG 2017-2019 FemPreg weighted
United States,2018,26,unmarried,all,48164.10671852161,NSFG 2017-2019 FemPreg weighted
United States,2018,27,unmarried,all,62222.08708255196,NSFG 2017-2019 FemPreg weighted
United States,2018,28,unmarried,all,48890.98855511859,NSFG 2017-2019 FemPreg weighted
United States,2018,29,unmarried,all,20268.34008142309,NSFG 2017-2019 FemPreg weighted
United States,2018,30,unmarried,all,24370.68424010316,NSFG 2017-2019 FemPreg weighted
United States,2018,31,unmarried,all,14502.4324356477,NSFG 2017-2019 FemPreg weighted
United States,2018,32,unmarried,all,17007.85832032129,NSFG 2017-2019 FemPreg weighted
United States,2018,33,unmarried,all,4117.5670764197,NSFG 2017-2019 FemPreg weighted
United States,2018,34,unmarried,all,17161.866162843362,NSFG 2017-2019 FemPreg weighted
United States,2018,35,unmarried,all,9008.05074942076,NSFG 2017-2019 FemPreg weighted
United States,2018,36,unmarried,all,33090.3573723815,NSFG 2017-2019 FemPreg weighted
United States,2018,17,unmarried,first,6261.010161544909,NSFG 2017-2019 FemPreg weighted
United States,2018,18,unmarried,first,31454.33418052159,NSFG 2017-2019 FemPreg weighted
United States,2018,19,unmarried,first,18585.30212729457,NSFG 2017-2019 FemPreg weighted
United States,2018,20,unmarried,first,28343.4230908763,NSFG 2017-2019 FemPreg weighted
United States,2018,21,unmarried,first,42044.72012911848,NSFG 2017-2019 FemPreg weighted
United States,2018,22,unmarried,first,27586.3384919709,NSFG 2017-2019 FemPreg weighted
United States,2018,23,unmarried,first,23303.4682337166,NSFG 2017-2019 FemPreg weighted
United States,2018,24,unmarried,first,69626.09880872958,NSFG 2017-2019 FemPreg weighted
United States,2018,25,unmarried,first,9253.481673688999,NSFG 2017-2019 FemPreg weighted
United States,2018,26,unmarried,first,20983.121688122,NSFG 2017-2019 FemPreg weighted
United States,2018,27,unmarried,first,15460.166628281779,NSFG 2017-2019 FemPreg weighted
United States,2018,28,unmarried,first,9297.34794685943,NSFG 2017-2019 FemPreg weighted
United States,2018,29,unmarried,first,3357.74325725418,NSFG 2017-2019 FemPreg weighted
United States,2018,31,unmarried,first,4392.67084765397,NSFG 2017-2019 FemPreg weighted
United States,2018,32,unmarried,first,8004.120834332889,NSFG 2017-2019 FemPreg weighted
United States,2018,17,unmarried,second,2684.98270173752,NSFG 2017-2019 FemPreg weighted
United States,2018,22,unmarried,second,34126.9327707856,NSFG 2017-2019 FemPreg weighted
United States,2018,23,unmarried,second,13262.61764155719,NSFG 2017-2019 FemPreg weighted
United States,2018,24,unmarried,second,9216.15009442611,NSFG 2017-2019 FemPreg weighted
United States,2018,25,unmarried,second,10928.27479784716,NSFG 2017-2019 FemPreg weighted
United States,2018,26,unmarried,second,27180.985030399606,NSFG 2017-2019 FemPreg weighted
United States,2018,27,unmarried,second,40617.37544093046,NSFG 2017-2019 FemPreg weighted
United States,2018,28,unmarried,second,19323.829766492883,NSFG 2017-2019 FemPreg weighted
United States,2018,29,unmarried,second,8559.10016719384,NSFG 2017-2019 FemPreg weighted
United States,2018,30,unmarried,second,10161.5190481145,NSFG 2017-2019 FemPreg weighted
United States,2018,33,unmarried,second,4117.5670764197,NSFG 2017-2019 FemPreg weighted
United States,2018,35,unmarried,second,9008.05074942076,NSFG 2017-2019 FemPreg weighted
United States,2018,23,unmarried,third_plus,6369.13222143996,NSFG 2017-2019 FemPreg weighted
United States,2018,24,unmarried,third_plus,15214.49877292113,NSFG 2017-2019 FemPreg weighted
United States,2018,25,unmarried,third_plus,27425.46565078842,NSFG 2017-2019 FemPreg weighted
United States,2018,27,unmarried,third_plus,6144.54501333972,NSFG 2017-2019 FemPreg weighted
United States,2018,28,unmarried,third_plus,20269.81084176627,NSFG 2017-2019 FemPreg weighted
United States,2018,29,unmarried,third_plus,8351.49665697507,NSFG 2017-2019 FemPreg weighted
United States,2018,30,unmarried,third_plus,14209.165191988659,NSFG 2017-2019 FemPreg weighted
United States,2018,31,unmarried,third_plus,10109.76158799373,NSFG 2017-2019 FemPreg weighted
United States,2018,32,unmarried,third_plus,9003.7374859884,NSFG 2017-2019 FemPreg weighted
United States,2018,34,unmarried,third_plus,17161.866162843362,NSFG 2017-2019 FemPreg weighted
United States,2018,36,unmarried,third_plus,33090.3573723815,NSFG 2017-2019 FemPreg weighted
