country,state,entity,year,age,age_band,marital,parity,exposure,source,allocation
United States,01,Alabama,2010,43,40_44,unmarried,all,11683.6,Census ACS1 B12002,uniform_within_band
United States,01,Alabama,2010,44,40_44,married,all,20628.0,Census ACS1 B12002,uniform_within_band
United States,01,Alabama,2010,44,40_44,unmarried,all,11683.6,Census ACS1 B12002,uniform_within_band
United States,02,Alaska,2010,15,15_17,married,all,54.666666666666664,Census ACS1 B12002,uniform_within_band
United States,02,Alaska,2010,15,15_17,unmarried,all,5306.666666666667,Census ACS1 B12002,uniform_within_band
United States,02,Alaska,2010,16,15_17,married,all,54.666666666666664,Census ACS1 B12002,uniform_within_band
United States,02,Alaska,2010,16,15_17,unmarried,all,5306.666666666667,Census ACS1 B12002,uniform_within_band
United States,02,Alaska,2010,17,15_17,married,all,54.666666666666664,Census ACS1 B12002,uniform_within_band
United States,02,Alaska,2010,17,15_17,unmarried,all,5306.666666666667,Census ACS1 B12002,uniform_within_band
United States,02,Alaska,2010,18,18_19,married,all,394.5,Census ACS1 B12002,uniform_within_band
United States,02,Alaska,2010,18,18_19,unmarried,all,4098.5,Census ACS1 B12002,uniform_within_band
United States,02,Alaska,2010,19,18_19,married,all,394.5,Census ACS1 B12002,uniform_within_band
United States,02,Alaska,2010,19,18_19,unmarried,all,4098.5,Census ACS1 B12002,uniform_within_band
United States,02,Alaska,2010,20,20_24,married,all,1504.2,Census ACS1 B12002,uniform_within_band
United States,02,Alaska,2010,20,20_24,unmarried,all,3731.8,Census ACS1 B12002,uniform_within_band
United States,02,Alaska,2010,21,20_24,married,all,1504.2,Census ACS1 B12002,uniform_within_band
United States,02,Alaska,2010,21,20_24,unmarried,all,3731.8,Census ACS1 B12002,uniform_within_band
United States,02,Alaska,2010,22,20_24,married,all,1504.2,Census ACS1 B12002,uniform_within_band
United States,02,Alaska,2010,22,20_24,unmarried,all,3731.8,Census ACS1 B12002,uniform_within_band
United States,02,Alaska,2010,23,20_24,married,all,1504.2,Census ACS1 B12002,uniform_within_band
United States,02,Alaska,2010,23,20_24,unmarried,all,3731.8,Census ACS1 B12002,uniform_within_band
United States,02,Alaska,2010,24,20_24,married,all,1504.2,Census ACS1 B12002,uniform_within_band
United States,02,Alaska,2010,24,20_24,unmarried,all,3731.8,Census ACS1 B12002,uniform_within_band
United States,02,Alaska,2010,25,25_29,married,all,2514.4,Census ACS1 B12002,uniform_within_band
United States,02,Alaska,2010,25,25_29,unmarried,all,2450.8,Census ACS1 B12002,uniform_within_band
United States,02,Alaska,2010,26,25_29,married,all,2514.4,Census ACS1 B12002,uniform_within_band
United States,02,Alaska,2010,26,25_29,unmarried,all,2450.8,Census ACS1 B12002,uniform_within_band
United States,02,Alaska,2010,27,25_29,married,all,2514.4,Census ACS1 B12002,uniform_within_band
United States,02,Alaska,2010,27,25_29,unmarried,all,2450.8,Census ACS1 B12002,uniform_within_band
United States,02,Alaska,2010,28,25_29,married,all,2514.4,Census ACS1 B12002,uniform_within_band
United States,02,Alaska,2010,28,25_29,unmarried,all,2450.8,Census ACS1 B12002,uniform_within_band
United States,02,Alaska,2010,29,25_29,married,all,2514.4,Census ACS1 B12002,uniform_within_band
United States,02,Alaska,2010,29,25_29,unmarried,all,2450.8,Census ACS1 B12002,uniform_within_band
United States,02,Alaska,2010,30,30_34,married,all,3100.8,Census ACS1 B12002,uniform_within_band
United States,02,Alaska,2010,30,30_34,unmarried,all,1576.6,Census ACS1 B12002,uniform_within_band
United States,02,Alaska,2010,31,30_34,married,all,3100.8,Census ACS1 B12002,uniform_within_band
United States,02,Alaska,2010,31,30_34,unmarried,all,1576.6,Census ACS1 B12002,uniform_within_band
United States,02,Alaska,2010,32,30_34,married,all,3100.8,Census ACS1 B12002,uniform_within_band
United States,02,Alaska,2010,32,30_34,unmarried,all,1576.6,Census ACS1 B12002,uniform_within_band
United States,02,Alaska,2010,33,30_34,married,all,3100.8,Census ACS1 B12002,uniform_within_band
United States,02,Alaska,2010,33,30_34,unmarried,all,1576.6,Census ACS1 B12002,uniform_within_band
United States,02,Alaska,2010,34,30_34,married,all,3100.8,Census ACS1 B12002,uniform_within_band
United States,02,Alaska,2010,34,30_34,unmarried,all,1576.6,Census ACS1 B12002,uniform_within_band
United States,02,Alaska,2010,35,35_39,married,all,2947.0,Census ACS1 B12002,uniform_within_band
United States,02,Alaska,2010,35,35_39,unmarried,all,1051.4,Census ACS1 B12002,uniform_within_band
United States,02,Alaska,2010,36,35_39,married,all,2947.0,Census ACS1 B12002,uniform_within_band
United States,02,Alaska,2010,36,35_39,unmarried,all,1051.4,Census ACS1 B12002,uniform_within_band
United States,02,Alaska,2010,37,35_39,married,all,2947.0,Census ACS1 B12002,uniform_within_band
United States,02,Alaska,2010,37,35_39,unmarried,all,1051.4,Census ACS1 B12002,uniform_within_band
United States,02,Alaska,2010,38,35_39,married,all,2947.0,Census ACS1 B12002,uniform_within_band
United States,02,Alaska,2010,38,35_39,unmarried,all,1051.4,Census ACS1 B12002,uniform_within_band
United States,02,Alaska,2010,39,35_39,married,all,2947.0,Census ACS1 B12002,uniform_within_band
United States,02,Alaska,2010,39,35_39,unmarried,all,1051.4,Census ACS1 B12002,uniform_within_band
United States,02,Alaska,2010,40,40_44,married,all,3555.6,Census ACS1 B12002,uniform_within_band
United States,02,Alaska,2010,40,40_44,unmarried,all,1305.6,Census ACS1 B12002,uniform_within_band
United States,02,Alaska,2010,41,40_44,married,all,3555.6,Census ACS1 B12002,uniform_within_band
United States,02,Alaska,2010,41,40_44,unmarried,all,1305.6,Census ACS1 B12002,uniform_within_band
United States,02,Alaska,2010,42,40_44,married,all,3555.6,Census ACS1 B12002,uniform_within_band
United States,02,Alaska,2010,42,40_44,unmarried,all,1305.6,Census ACS1 B12002,uniform_within_band
United States,02,Alaska,2010,43,40_44,married,all,3555.6,Census ACS1 B12002,uniform_within_band
United States,02,Alaska,2010,43,40_44,unmarried,all,1305.6,Census ACS1 B12002,uniform_within_band
United States,02,Alaska,2010,44,40_44,married,all,3555.6,Census ACS1 B12002,uniform_within_band
United States,02,Alaska,2010,44,40_44,unmarried,all,1305.6,Census ACS1 B12002,uniform_within_band
United States,04,Arizona,2010,15,15_17,married,all,556.0,Census ACS1 B12002,uniform_within_band
United States,04,Arizona,2010,15,15_17,unmarried,all,43422.333333333336,Census ACS1 B12002,uniform_within_band
United States,04,Arizona,2010,16,15_17,married,all,556.0,Census ACS1 B12002,uniform_within_band
United States,04,Arizona,2010,16,15_17,unmarried,all,43422.333333333336,Census ACS1 B12002,uniform_within_band
United States,04,Arizona,2010,17,15_17,married,all,556.0,Census ACS1 B12002,uniform_within_band
United States,04,Arizona,2010,17,15_17,unmarried,all,43422.333333333336,Census ACS1 B12002,uniform_within_band
United States,04,Arizona,2010,18,18_19,married,all,1661.5,Census ACS1 B12002,uniform_within_band
United States,04,Arizona,2010,18,18_19,unmarried,all,43599.5,Census ACS1 B12002,uniform_within_band
United States,04,Arizona,2010,19,18_19,married,all,1661.5,Census ACS1 B12002,uniform_within_band
United States,04,Arizona,2010,19,18_19,unmarried,all,43599.5,Census ACS1 B12002,uniform_within_band
United States,04,Arizona,2010,20,20_24,married,all,8398.4,Census ACS1 B12002,uniform_within_band
United States,04,Arizona,2010,20,20_24,unmarried,all,34417.6,Census ACS1 B12002,uniform_within_band
United States,04,Arizona,2010,21,20_24,married,all,8398.4,Census ACS1 B12002,uniform_within_band
United States,04,Arizona,2010,21,20_24,unmarried,all,34417.6,Census ACS1 B12002,uniform_within_band
United States,04,Arizona,2010,22,20_24,married,all,8398.4,Census ACS1 B12002,uniform_within_band
United States,04,Arizona,2010,22,20_24,unmarried,all,34417.6,Census ACS1 B12002,uniform_within_band
United States,04,Arizona,2010,23,20_24,married,all,8398.4,Census ACS1 B12002,uniform_within_band
United States,04,Arizona,2010,23,20_24,unmarried,all,34417.6,Census ACS1 B12002,uniform_within_band
United States,04,Arizona,2010,24,20_24,married,all,8398.4,Census ACS1 B12002,uniform_within_band
United States,04,Arizona,2010,24,20_24,unmarried,all,34417.6,Census ACS1 B12002,uniform_within_band
United States,04,Arizona,2010,25,25_29,married,all,20381.0,Census ACS1 B12002,uniform_within_band
United States,04,Arizona,2010,25,25_29,unmarried,all,22902.2,Census ACS1 B12002,uniform_within_band
United States,04,Arizona,2010,26,25_29,married,all,20381.0,Census ACS1 B12002,uniform_within_band
United States,04,Arizona,2010,26,25_29,unmarried,all,22902.2,Census ACS1 B12002,uniform_within_band
United States,04,Arizona,2010,27,25_29,married,all,20381.0,Census ACS1 B12002,uniform_within_band
United States,04,Arizona,2010,27,25_29,unmarried,all,22902.2,Census ACS1 B12002,uniform_within_band
United States,04,Arizona,2010,28,25_29,married,all,20381.0,Census ACS1 B12002,uniform_within_band
United States,04,Arizona,2010,28,25_29,unmarried,all,22902.2,Census ACS1 B12002,uniform_within_band
United States,04,Arizona,2010,29,25_29,married,all,20381.0,Census ACS1 B12002,uniform_within_band
United States,04,Arizona,2010,29,25_29,unmarried,all,22902.2,Census ACS1 B12002,uniform_within_band
United States,04,Arizona,2010,30,30_34,married,all,24179.6,Census ACS1 B12002,uniform_within_band
United States,04,Arizona,2010,30,30_34,unmarried,all,16882.2,Census ACS1 B12002,uniform_within_band
United States,04,Arizona,2010,31,30_34,married,all,24179.6,Census ACS1 B12002,uniform_within_band
United States,04,Arizona,2010,31,30_34,unmarried,all,16882.2,Census ACS1 B12002,uniform_within_band
United States,04,Arizona,2010,32,30_34,married,all,24179.6,Census ACS1 B12002,uniform_within_band
United States,04,Arizona,2010,32,30_34,unmarried,all,16882.2,Census ACS1 B12002,uniform_within_band
United States,04,Arizona,2010,33,30_34,married,all,24179.6,Census ACS1 B12002,uniform_within_band
United States,04,Arizona,2010,33,30_34,unmarried,all,16882.2,Census ACS1 B12002,uniform_within_band
United States,04,Arizona,2010,34,30_34,married,all,24179.6,Census ACS1 B12002,uniform_within_band
United States,04,Arizona,2010,34,30_34,unmarried,all,16882.2,Census ACS1 B12002,uniform_within_band
United States,04,Arizona,2010,35,35_39,married,all,27609.4,Census ACS1 B12002,uniform_within_band
United States,04,Arizona,2010,35,35_39,unmarried,all,14424.6,Census ACS1 B12002,uniform_within_band
United States,04,Arizona,2010,36,35_39,married,all,27609.4,Census ACS1 B12002,uniform_within_band
