country,year,age,marital,parity,weight,source
United States,2010,20,married,third_plus,11060.4847760398,NSFG 2017-2019 FemPreg weighted
United States,2010,21,married,third_plus,4770.02738253211,NSFG 2017-2019 FemPreg weighted
United States,2010,22,married,third_plus,3799.71784270949,NSFG 2017-2019 FemPreg weighted
United States,2010,23,married,third_plus,17074.89244996032,NSFG 2017-2019 FemPreg weighted
United States,2010,24,married,third_plus,39020.67826695082,NSFG 2017-2019 FemPreg weighted
United States,2010,25,married,third_plus,24613.04971105299,NSFG 2017-2019 FemPreg weighted
United States,2010,26,married,third_plus,5498.28775925725,NSFG 2017-2019 FemPreg weighted
United States,2010,27,married,third_plus,22913.50947767077,NSFG 2017-2019 FemPreg weighted
United States,2010,28,married,third_plus,55433.1714587743,NSFG 2017-2019 FemPreg weighted
United States,2010,29,married,third_plus,32758.4987444028,NSFG 2017-2019 FemPreg weighted
United States,2010,30,married,third_plus,2559.64510448003,NSFG 2017-2019 FemPreg weighted
United States,2010,31,married,third_plus,31831.48072508127,NSFG 2017-2019 FemPreg weighted
United States,2010,32,married,third_plus,13131.28804715089,NSFG 2017-2019 FemPreg weighted
United States,2010,33,married,third_plus,39003.98134331836,NSFG 2017-2019 FemPreg weighted
United States,2010,34,married,third_plus,15958.87358909177,NSFG 2017-2019 FemPreg weighted
United States,2010,36,married,third_plus,12343.3669267992,NSFG 2017-2019 FemPreg weighted
United States,2010,37,married,third_plus,136190.0197153375,NSFG 2017-2019 FemPreg weighted
United States,2010,38,married,third_plus,7871.415081439291,NSFG 2017-2019 FemPreg weighted
United States,2010,39,married,third_plus,27086.70840211519,NSFG 2017-2019 FemPreg weighted
United States,2010,41,married,third_plus,84666.50479411069,NSFG 2017-2019 FemPreg weighted
United States,2010,15,unmarried,all,14695.590218626621,NSFG 2017-2019 FemPreg weighted
United States,2010,16,unmarried,all,9858.30557253409,NSFG 2017-2019 FemPreg weighted
United States,2010,17,unmarried,all,76143.49054820416,NSFG 2017-2019 FemPreg weighted
United States,2010,18,unmarried,all,52932.102517860476,NSFG 2017-2019 FemPreg weighted
United States,2010,19,unmarried,all,209276.55201251348,NSFG 2017-2019 FemPreg weighted
United States,2010,20,unmarried,all,133350.41667485383,NSFG 2017-2019 FemPreg weighted
United States,2010,21,unmarried,all,207370.66221551754,NSFG 2017-2019 FemPreg weighted
United States,2010,22,unmarried,all,111631.48983478392,NSFG 2017-2019 FemPreg weighted
United States,2010,23,unmarried,all,68205.6982299771,NSFG 2017-2019 FemPreg weighted
United States,2010,24,unmarried,all,167233.6059435165,NSFG 2017-2019 FemPreg weighted
United States,2010,25,unmarried,all,106760.02259515288,NSFG 2017-2019 FemPreg weighted
United States,2010,26,unmarried,all,128491.15099904985,NSFG 2017-2019 FemPreg weighted
United States,2010,27,unmarried,all,123597.53772115578,NSFG 2017-2019 FemPreg weighted
United States,2010,28,unmarried,all,67012.33218223104,NSFG 2017-2019 FemPreg weighted
United States,2010,29,unmarried,all,59376.74204855063,NSFG 2017-2019 FemPreg weighted
United States,2010,30,unmarried,all,35067.46433693893,NSFG 2017-2019 FemPreg weighted
United States,2010,31,unmarried,all,96634.75231282397,NSFG 2017-2019 FemPreg weighted
United States,2010,32,unmarried,all,45900.56106710488,NSFG 2017-2019 FemPreg weighted
United States,2010,33,unmarried,all,37804.690873995496,NSFG 2017-2019 FemPreg weighted
United States,2010,34,unmarried,all,1872.90066752959,NSFG 2017-2019 FemPreg weighted
United States,2010,36,unmarried,all,24425.20274901459,NSFG 2017-2019 FemPreg weighted
United States,2010,37,unmarried,all,10349.6697677756,NSFG 2017-2019 FemPreg weighted
United States,2010,39,unmarried,all,15312.462590259838,NSFG 2017-2019 FemPreg weighted
United States,2010,40,unmarried,all,9179.96743824293,NSFG 2017-2019 FemPreg weighted
United States,2010,15,unmarried,first,14695.590218626621,NSFG 2017-2019 FemPreg weighted
United States,2010,16,unmarried,first,9858.30557253409,NSFG 2017-2019 FemPreg weighted
United States,2010,17,unmarried,first,74479.23083174329,NSFG 2017-2019 FemPreg weighted
United States,2010,18,unmarried,first,39796.29240101869,NSFG 2017-2019 FemPreg weighted
United States,2010,19,unmarried,first,179866.58961675642,NSFG 2017-2019 FemPreg weighted
United States,2010,20,unmarried,first,56325.31610522371,NSFG 2017-2019 FemPreg weighted
United States,2010,21,unmarried,first,106546.8517454887,NSFG 2017-2019 FemPreg weighted
United States,2010,22,unmarried,first,65769.66207874173,NSFG 2017-2019 FemPreg weighted
United States,2010,23,unmarried,first,46100.16810401627,NSFG 2017-2019 FemPreg weighted
United States,2010,24,unmarried,first,63235.98883657344,NSFG 2017-2019 FemPreg weighted
United States,2010,25,unmarried,first,39236.243973174925,NSFG 2017-2019 FemPreg weighted
United States,2010,26,unmarried,first,17889.0644946696,NSFG 2017-2019 FemPreg weighted
United States,2010,27,unmarried,first,16050.893925278671,NSFG 2017-2019 FemPreg weighted
United States,2010,28,unmarried,first,24911.482018223578,NSFG 2017-2019 FemPreg weighted
United States,2010,29,unmarried,first,19419.89534866589,NSFG 2017-2019 FemPreg weighted
United States,2010,30,unmarried,first,19256.62444956883,NSFG 2017-2019 FemPreg weighted
United States,2010,31,unmarried,first,24286.268268316417,NSFG 2017-2019 FemPreg weighted
United States,2010,32,unmarried,first,7725.11994689684,NSFG 2017-2019 FemPreg weighted
United States,2010,33,unmarried,first,2842.13710500477,NSFG 2017-2019 FemPreg weighted
United States,2010,36,unmarried,first,2816.45171316869,NSFG 2017-2019 FemPreg weighted
United States,2010,17,unmarried,second,1664.25971646088,NSFG 2017-2019 FemPreg weighted
United States,2010,18,unmarried,second,13135.810116841782,NSFG 2017-2019 FemPreg weighted
United States,2010,19,unmarried,second,29409.962395757047,NSFG 2017-2019 FemPreg weighted
United States,2010,20,unmarried,second,55697.59774485359,NSFG 2017-2019 FemPreg weighted
United States,2010,21,unmarried,second,98320.26794558243,NSFG 2017-2019 FemPreg weighted
United States,2010,22,unmarried,second,24082.84764750073,NSFG 2017-2019 FemPreg weighted
United States,2010,23,unmarried,second,19497.6825758813,NSFG 2017-2019 FemPreg weighted
United States,2010,24,unmarried,second,67913.97369833523,NSFG 2017-2019 FemPreg weighted
United States,2010,25,unmarried,second,19313.06527946688,NSFG 2017-2019 FemPreg weighted
United States,2010,26,unmarried,second,75233.53729611982,NSFG 2017-2019 FemPreg weighted
United States,2010,27,unmarried,second,26316.55422305354,NSFG 2017-2019 FemPreg weighted
United States,2010,28,unmarried,second,18715.89823398566,NSFG 2017-2019 FemPreg weighted
United States,2010,29,unmarried,second,34484.45401813135,NSFG 2017-2019 FemPreg weighted
United States,2010,30,unmarried,second,14469.9778873701,NSFG 2017-2019 FemPreg weighted
United States,2010,32,unmarried,second,14031.536735826721,NSFG 2017-2019 FemPreg weighted
United States,2010,33,unmarried,second,12934.9366725807,NSFG 2017-2019 FemPreg weighted
United States,2010,36,unmarried,second,17855.01691842039,NSFG 2017-2019 FemPreg weighted
United States,2010,37,unmarried,second,10349.6697677756,NSFG 2017-2019 FemPreg weighted
United States,2010,20,unmarried,third_plus,21327.5028247765,NSFG 2017-2019 FemPreg weighted
United States,2010,21,unmarried,third_plus,2503.54252444643,NSFG 2017-2019 FemPreg weighted
United States,2010,22,unmarried,third_plus,21778.980108541447,NSFG 2017-2019 FemPreg weighted
United States,2010,23,unmarried,third_plus,2607.84755007953,NSFG 2017-2019 FemPreg weighted
United States,2010,24,unmarried,third_plus,36083.643408607844,NSFG 2017-2019 FemPreg weighted
United States,2010,25,unmarried,third_plus,48210.71334251108,NSFG 2017-2019 FemPreg weighted
United States,2010,26,unmarried,third_plus,35368.54920826044,NSFG 2017-2019 FemPreg weighted
United States,2010,27,unmarried,third_plus,81230.08957282358,NSFG 2017-2019 FemPreg weighted
United States,2010,28,unmarried,third_plus,23384.95193002181,NSFG 2017-2019 FemPreg weighted
United States,2010,29,unmarried,third_plus,5472.39268175339,NSFG 2017-2019 FemPreg weighted
United States,2010,30,unmarried,third_plus,1340.862,NSFG 2017-2019 FemPreg weighted
United States,2010,31,unmarried,third_plus,72348.48404450755,NSFG 2017-2019 FemPreg weighted
United States,2010,32,unmarried,third_plus,24143.90438438132,NSFG 2017-2019 FemPreg weighted
United States,2010,33,unmarried,third_plus,22027.61709641003,NSFG 2017-2019 FemPreg weighted
United States,2010,34,unmarried,third_plus,1872.90066752959,NSFG 2017-2019 FemPreg weighted
United States,2010,36,unmarried,third_plus,3753.73411742551,NSFG 2017-2019 FemPreg weighted
United States,2010,39,unmarried,third_plus,15312.462590259838,NSFG 2017-2019 FemPreg weighted
United States,2010,40,unmarried,third_plus,9179.96743824293,NSFG 2017-2019 FemPreg weighted
United States,2011,17,married,all,11552.0260968174,NSFG 2017-2019 FemPreg weighted
United States,2011,18,married,all,18196.6224841966,NSFG 2017-2019 FemPreg weighted
United States,2011,19,married,all,4566.16442233318,NSFG 2017-2019 FemPreg weighted
United States,2011,20,married,all,27891.30544746657,NSFG 2017-2019 FemPreg weighted
United States,2011,21,married,all,124215.49510090194,NSFG 2017-2019 FemPreg weighted
United States,2011,22,married,all,56563.15068367414,NSFG 2017-2019 FemPreg weighted
United States,2011,23,married,all,77122.44847969734,NSFG 2017-2019 FemPreg weighted
United States,2011,24,married,all,29844.06351501764,NSFG 2017-2019 FemPreg weighted
United States,2011,25,married,all,70600.49180963212,NSFG 2017-2019 FemPreg weighted
United States,2011,26,married,all,67180.89583086812,NSFG 2017-2019 FemPreg weighted
United States,2011,27,married,all,66650.2508988485,NSFG 2017-2019 FemPreg weighted
United States,2011,28,married,all,211756.31042353218,NSFG 2017-2019 FemPreg weighted
United States,2011,29,married,all,234171.514538145,NSFG 2017-2019 FemPreg weighted
United States,2011,30,married,all,140160.87446784865,NSFG 2017-2019 FemPreg weighted
United States,2011,31,married,all,132747.08039667527,NSFG 2017-2019 FemPreg weighted
United States,2011,32,married,all,109287.80385491604,NSFG 2017-2019 FemPreg weighted
United States,2011,33,married,all,142631.53135543838,NSFG 2017-2019 FemPreg weighted
United States,2011,34,married,all,232401.21964934873,NSFG 2017-2019 FemPreg weighted
United States,2011,35,married,all,52032.90952626415,NSFG 2017-2019 FemPreg weighted
United States,2011,36,married,all,133003.58503283066,NSFG 2017-2019 FemPreg weighted
United States,2011,37,married,all,12312.6361890635,NSFG 2017-2019 FemPreg weighted
United States,2011,38,married,all,35837.770269685054,NSFG 2017-2019 FemPreg weighted
United States,2011,39,married,all,178231.74834363785,NSFG 2017-2019 FemPreg weighted
United States,2011,40,married,all,27776.9362049783,NSFG 2017-2019 FemPreg weighted
United States,2011,41,married,all,6505.881408933021,NSFG 2017-2019 FemPreg weighted
United States,2011,42,married,all,4254.61113544251,NSFG 2017-2019 FemPreg weighted
United States,2011,17,married,first,11552.0260968174,NSFG 2017-2019 FemPreg weighted
United States,2011,18,married,first,18196.6224841966,NSFG 2017-2019 FemPreg weighted
United States,2011,20,married,first,27891.30544746657,NSFG 2017-2019 FemPreg weighted
United States,2011,21,married,first,10596.1775944582,NSFG 2017-2019 FemPreg weighted
United States,2011,22,married,first,30669.01626933427,NSFG 2017-2019 FemPreg weighted
United States,2011,23,married,first,3978.17860769733,NSFG 2017-2019 FemPreg weighted
United States,2011,24,married,first,12089.31536955943,NSFG 2017-2019 FemPreg weighted
United States,2011,25,married,first,33418.27729360516,NSFG 2017-2019 FemPreg weighted
United States,2011,26,married,first,41932.780787728894,NSFG 2017-2019 FemPreg weighted
United States,2011,27,married,first,33527.81783622496,NSFG 2017-2019 FemPreg weighted
United States,2011,28,married,first,71081.67659528404,NSFG 2017-2019 FemPreg weighted
United States,2011,29,married,first,37827.7363621066,NSFG 2017-2019 FemPreg weighted
United States,2011,30,married,first,88775.46811217973,NSFG 2017-2019 FemPreg weighted
United States,2011,31,married,first,69230.55969111172,NSFG 2017-2019 FemPreg weighted
United States,2011,33,married,first,9927.22139401225,NSFG 2017-2019 FemPreg weighted
United States,2011,34,married,first,41080.181719641805,NSFG 2017-2019 FemPreg weighted
United States,2011,35,married,first,6909.63477578573,NSFG 2017-2019 FemPreg weighted
United States,2011,36,married,first,40108.7939521312,NSFG 2017-2019 FemPreg weighted
United States,2011,37,married,first,12312.6361890635,NSFG 2017-2019 FemPreg weighted
United States,2011,39,married,first,95771.68270121861,NSFG 2017-2019 FemPreg weighted
United States,2011,40,married,first,11832.5866125263,NSFG 2017-2019 FemPreg weighted
United States,2011,42,married,first,4254.61113544251,NSFG 2017-2019 FemPreg weighted
United States,2011,19,married,second,4566.16442233318,NSFG 2017-2019 FemPreg weighted
United States,2011,21,married,second,69707.06571408984,NSFG 2017-2019 FemPreg weighted
United States,2011,22,married,second,5067.15158677448,NSFG 2017-2019 FemPreg weighted
United States,2011,23,married,second,57220.10657066297,NSFG 2017-2019 FemPreg weighted
United States,2011,24,married,second,3087.70256307934,NSFG 2017-2019 FemPreg weighted
United States,2011,25,married,second,12699.744709282071,NSFG 2017-2019 FemPreg weighted
United States,2011,26,married,second,18359.9861258575,NSFG 2017-2019 FemPreg weighted
United States,2011,27,married,second,18253.34681601986,NSFG 2017-2019 FemPreg weighted
United States,2011,28,married,second,17272.19699099741,NSFG 2017-2019 FemPreg weighted
United States,2011,29,married,second,131350.8187014443,NSFG 2017-2019 FemPreg weighted
United States,2011,30,married,second,26711.042310674333,NSFG 2017-2019 FemPreg weighted
United States,2011,31,married,second,43543.3470696995,NSFG 2017-2019 FemPreg weighted
United States,2011,32,married,second,91473.24262488328,NSFG 2017-2019 FemPreg weighted
United States,2011,33,married,second,125724.84371878231,NSFG 2017-2019 FemPreg weighted
United States,2011,34,married,second,170793.68512050112,NSFG 2017-2019 FemPreg weighted
United States,2011,35,married,second,28465.82801190027,NSFG 2017-2019 FemPreg weighted
United States,2011,36,married,second,37088.09416214706,NSFG 2017-2019 FemPreg weighted
United States,2011,38,married,second,34030.156988568895,NSFG 2017-2019 FemPreg weighted
United States,2011,39,married,second,51930.45681475064,NSFG 2017-2019 FemPreg weighted
United States,2011,40,married,second,15944.349592452,NSFG 2017-2019 FemPreg weighted
United States,2011,41,married,second,2901.54444713195,NSFG 2017-2019 FemPreg weighted
United States,2011,21,married,third_plus,43912.2517923539,NSFG 2017-2019 FemPreg weighted
United States,2011,22,married,third_plus,20826.98282756539,NSFG 2017-2019 FemPreg weighted
United States,2011,23,married,third_plus,15924.163301337041,NSFG 2017-2019 FemPreg weighted
United States,2011,24,married,third_plus,14667.045582378869,NSFG 2017-2019 FemPreg weighted
United States,2011,25,married,third_plus,24482.469806744888,NSFG 2017-2019 FemPreg weighted
United States,2011,26,married,third_plus,6888.12891728172,NSFG 2017-2019 FemPreg weighted
United States,2011,27,married,third_plus,14869.086246603689,NSFG 2017-2019 FemPreg weighted
United States,2011,28,married,third_plus,123402.43683725073,NSFG 2017-2019 FemPreg weighted
United States,2011,29,married,third_plus,64992.9594745941,NSFG 2017-2019 FemPreg weighted
United States,2011,30,married,third_plus,24674.36404499458,NSFG 2017-2019 FemPreg weighted
United States,2011,31,married,third_plus,19973.173635864052,NSFG 2017-2019 FemPreg weighted
United States,2011,32,married,third_plus,17814.56123003277,NSFG 2017-2019 FemPreg weighted
United States,2011,33,married,third_plus,6979.46624264381,NSFG 2017-2019 FemPreg weighted
United States,2011,34,married,third_plus,20527.3528092058,NSFG 2017-2019 FemPreg weighted
United States,2011,35,married,third_plus,16657.44673857815,NSFG 2017-2019 FemPreg weighted
United States,2011,36,married,third_plus,55806.69691855239,NSFG 2017-2019 FemPreg weighted
United States,2011,38,married,third_plus,1807.61328111616,NSFG 2017-2019 FemPreg weighted
United States,2011,39,married,third_plus,30529.6088276686,NSFG 2017-2019 FemPreg weighted
United States,2011,41,married,third_plus,3604.33696180107,NSFG 2017-2019 FemPreg weighted
United States,2011,16,unmarried,all,8058.48262399264,NSFG 2017-2019 FemPreg weighted
United States,2011,17,unmarried,all,44097.72977684166,NSFG 2017-2019 FemPreg weighted
United States,2011,18,unmarried,all,65590.65288601858,NSFG 2017-2019 FemPreg weighted
United States,2011,19,unmarried,all,67759.06155102764,NSFG 2017-2019 FemPreg weighted
United States,2011,20,unmarried,all,109200.04092432122,NSFG 2017-2019 FemPreg weighted
United States,2011,21,unmarried,all,199813.1006292049,NSFG 2017-2019 FemPreg weighted
United States,2011,22,unmarried,all,59113.14246171295,NSFG 2017-2019 FemPreg weighted
United States,2011,23,unmarried,all,102378.38518961519,NSFG 2017-2019 FemPreg weighted
United States,2011,24,unmarried,all,83405.24082785338,NSFG 2017-2019 FemPreg weighted
United States,2011,25,unmarried,all,130450.37561481653,NSFG 2017-2019 FemPreg weighted
United States,2011,26,unmarried,all,133716.29927977014,NSFG 2017-2019 FemPreg weighted
United States,2011,27,unmarried,all,29292.0492993496,NSFG 2017-2019 FemPreg weighted
United States,2011,28,unmarried,all,53379.53096826929,NSFG 2017-2019 FemPreg weighted
United States,2011,29,unmarried,all,66611.53417720312,NSFG 2017-2019 FemPreg weighted
United States,2011,30,unmarried,all,14275.89726991148,NSFG 2017-2019 FemPreg weighted
United States,2011,31,unmarried,all,54260.89601802946,NSFG 2017-2019 FemPreg weighted
United States,2011,32,unmarried,all,42818.098109411265,NSFG 2017-2019 FemPreg weighted
United States,2011,33,unmarried,all,7151.94002567202,NSFG 2017-2019 FemPreg weighted
United States,2011,34,unmarried,all,8936.62375030319,NSFG 2017-2019 FemPreg weighted
United States,2011,35,unmarried,all,2466.05037875574,NSFG 2017-2019 FemPreg weighted
United States,2011,36,unmarried,all,8999.59594750746,NSFG 2017-2019 FemPreg weighted
United States,2011,37,unmarried,all,17855.79370329608,NSFG 2017-2019 FemPreg weighted
United States,2011,38,unmarried,all,36016.3662281375,NSFG 2017-2019 FemPreg weighted
United States,2011,40,unmarried,all,12169.83546638325,NSFG 2017-2019 FemPreg weighted
United States,2011,41,unmarried,all,9179.96743824293,NSFG 2017-2019 FemPreg weighted
United States,2011,16,unmarried,first,8058.48262399264,NSFG 2017-2019 FemPreg weighted
United States,2011,17,unmarried,first,32464.03250453494,NSFG 2017-2019 FemPreg weighted
United States,2011,18,unmarried,first,51635.165085464396,NSFG 2017-2019 FemPreg weighted
United States,2011,19,unmarried,first,42991.448602147095,NSFG 2017-2019 FemPreg weighted
United States,2011,20,unmarried,first,106624.1797521242,NSFG 2017-2019 FemPreg weighted
United States,2011,21,unmarried,first,148540.94548752054,NSFG 2017-2019 FemPreg weighted
United States,2011,22,unmarried,first,25681.85808499572,NSFG 2017-2019 FemPreg weighted
United States,2011,23,unmarried,first,65153.056366747376,NSFG 2017-2019 FemPreg weighted
United States,2011,24,unmarried,first,51534.414255132244,NSFG 2017-2019 FemPreg weighted
United States,2011,25,unmarried,first,41899.828036861436,NSFG 2017-2019 FemPreg weighted
United States,2011,26,unmarried,first,48896.727208810815,NSFG 2017-2019 FemPreg weighted
United States,2011,27,unmarried,first,3079.61536510165,NSFG 2017-2019 FemPreg weighted
United States,2011,29,unmarried,first,22565.78538539318,NSFG 2017-2019 FemPreg weighted
United States,2011,30,unmarried,first,12453.44919005387,NSFG 2017-2019 FemPreg weighted
United States,2011,31,unmarried,first,3184.23570837292,NSFG 2017-2019 FemPreg weighted
United States,2011,32,unmarried,first,35013.169602558795,NSFG 2017-2019 FemPreg weighted
United States,2011,34,unmarried,first,8936.62375030319,NSFG 2017-2019 FemPreg weighted
United States,2011,17,unmarried,second,11633.69727230672,NSFG 2017-2019 FemPreg weighted
United States,2011,18,unmarried,second,13955.487800554189,NSFG 2017-2019 FemPreg weighted
United States,2011,19,unmarried,second,24767.612948880538,NSFG 2017-2019 FemPreg weighted
