country,entity,state,year,marital,parity,births_15_44,female_15_44,asfr_15_44,housing_cost_burden,rent_burden_share,median_gross_rent,housing_estimate_type,housing_source_url
United States,Nebraska,31,2010,all,all,25918.0,354218.0,73.16963000186325,0.4098016236602672,0.4098016236602672,,1yr_sequence,https://www2.census.gov/programs-surveys/acs/summary_file/2010/data/1_year_seq_by_state/Nebraska/20101ne0148000.zip
United States,Nevada,32,2010,all,all,35934.0,547651.0,65.6147802158674,0.5025451594793627,0.5025451594793627,,1yr_sequence,https://www2.census.gov/programs-surveys/acs/summary_file/2010/data/1_year_seq_by_state/Nevada/20101nv0148000.zip
United States,New Hampshire,33,2010,all,all,12874.0,249484.0,51.60250757563611,0.47734325229650026,0.47734325229650026,,1yr_sequence,https://www2.census.gov/programs-surveys/acs/summary_file/2010/data/1_year_seq_by_state/NewHampshire/20101nh0148000.zip
United States,New Jersey,34,2010,all,all,106922.0,1735099.0,61.622996728140585,0.5146031737095017,0.5146031737095017,,1yr_sequence,https://www2.census.gov/programs-surveys/acs/summary_file/2010/data/1_year_seq_by_state/NewJersey/20101nj0148000.zip
United States,New Mexico,35,2010,all,all,27850.0,397629.0,70.04016306657714,0.4244595811983581,0.4244595811983581,,1yr_sequence,https://www2.census.gov/programs-surveys/acs/summary_file/2010/data/1_year_seq_by_state/NewMexico/20101nm0148000.zip
United States,New York,36,2010,all,all,244375.0,4042471.0,60.45188697704943,0.5018042076308871,0.5018042076308871,,1yr_sequence,https://www2.census.gov/programs-surveys/acs/summary_file/2010/data/1_year_seq_by_state/NewYork/20101ny0148000.zip
United States,North Carolina,37,2010,all,all,122350.0,1941487.0,63.0187067953584,0.4717773382405161,0.4717773382405161,,1yr_sequence,https://www2.census.gov/programs-surveys/acs/summary_file/2010/data/1_year_seq_by_state/NorthCarolina/20101nc0148000.zip
United States,North Dakota,38,2010,all,all,9104.0,128361.0,70.92496942217652,0.3619081508319046,0.3619081508319046,,1yr_sequence,https://www2.census.gov/programs-surveys/acs/summary_file/2010/data/1_year_seq_by_state/NorthDakota/20101nd0148000.zip
United States,Ohio,39,2010,all,all,139128.0,2231669.0,62.34257858132187,0.47879001502934887,0.47879001502934887,,1yr_sequence,https://www2.census.gov/programs-surveys/acs/summary_file/2010/data/1_year_seq_by_state/Ohio/20101oh0148000.zip
United States,Oklahoma,40,2010,all,all,53238.0,734697.0,72.46252536760052,0.4178356561470251,0.4178356561470251,,1yr_sequence,https://www2.census.gov/programs-surveys/acs/summary_file/2010/data/1_year_seq_by_state/Oklahoma/20101ok0148000.zip
