country,year,sex,age,population
United States,2021,F,74,1416249.0
United States,2021,F,75,1018548.0
United States,2021,F,76,967657.0
United States,2021,F,77,924243.0
United States,2021,F,78,921734.0
United States,2021,F,79,775230.0
United States,2021,F,80,682175.0
United States,2021,F,81,611510.0
United States,2021,F,82,556491.0
United States,2021,F,83,504249.0
United States,2021,F,84,437636.0
United States,2021,F,85,390762.0
United States,2021,F,86,347761.0
United States,2021,F,87,287927.0
United States,2021,F,88,255444.0
United States,2021,F,89,219141.0
United States,2021,F,90,186655.0
United States,2021,F,91,156969.0
United States,2021,F,92,123021.0
United States,2021,F,93,98033.0
United States,2021,F,94,75312.0
United States,2021,F,95,55923.0
United States,2021,F,96,40773.0
United States,2021,F,97,28372.0
United States,2021,F,98,19777.0
United States,2021,F,99,12093.0
United States,2021,F,100,18940.0
United States,2021,F,0,1744760.0
United States,2021,F,1,1807601.0
United States,2021,F,2,1839081.0
United States,2021,F,3,1874984.0
United States,2021,F,4,1903715.0
United States,2021,F,5,1947900.0
United States,2021,F,6,1961372.0
United States,2021,F,7,1953364.0
United States,2021,F,8,1959841.0
United States,2021,F,9,1964610.0
United States,2021,F,10,1991974.0
United States,2021,F,11,2039325.0
United States,2021,F,12,2076669.0
United States,2021,F,13,2144928.0
United States,2021,F,14,2139973.0
United States,2021,F,15,2110226.0
United States,2021,F,16,2102809.0
United States,2021,F,17,2113975.0
United States,2021,F,18,2100212.0
United States,2021,F,19,2154233.0
United States,2021,F,20,2300871.0
United States,2021,F,21,2311095.0
United States,2021,F,22,2236716.0
United States,2021,F,23,2170218.0
United States,2021,F,24,2118410.0
United States,2021,F,25,2113103.0
United States,2021,F,26,2138102.0
United States,2021,F,27,2164844.0
United States,2021,F,28,2198387.0
United States,2021,F,29,2246856.0
United States,2021,F,30,2300432.0
United States,2021,F,31,2327981.0
United States,2021,F,32,2266668.0
United States,2021,F,33,2238556.0
United States,2021,F,34,2215921.0
United States,2021,F,35,2232348.0
United States,2021,F,36,2229587.0
United States,2021,F,37,2174662.0
United States,2021,F,38,2208616.0
United States,2021,F,39,2200769.0
United States,2021,F,40,2182274.0
United States,2021,F,41,2181029.0
United States,2021,F,42,2082935.0
United States,2021,F,43,2035241.0
United States,2021,F,44,2016521.0
United States,2021,F,45,1953756.0
United States,2021,F,46,1977763.0
United States,2021,F,47,1934602.0
United States,2021,F,48,1974417.0
United States,2021,F,49,2057787.0
United States,2021,F,50,2182025.0
United States,2021,F,51,2165037.0
United States,2021,F,52,2090166.0
United States,2021,F,53,2044541.0
United States,2021,F,54,2052478.0
United States,2021,F,55,2099011.0
United States,2021,F,56,2195743.0
United States,2021,F,57,2251808.0
United States,2021,F,58,2256060.0
United States,2021,F,59,2250523.0
United States,2021,F,60,2274437.0
United States,2021,F,61,2251386.0
United States,2021,F,62,2211333.0
United States,2021,F,63,2200512.0
United States,2021,F,64,2176508.0
United States,2021,F,65,2095508.0
United States,2021,F,66,2058147.0
United States,2021,F,67,1986012.0
United States,2021,F,68,1910965.0
United States,2021,F,69,1831266.0
United States,2021,F,70,1768621.0
United States,2021,F,71,1694679.0
United States,2021,F,72,1645998.0
United States,2021,F,73,1607703.0
United States,2021,F,74,1657310.0
United States,2021,F,75,1214310.0
United States,2021,F,76,1170838.0
United States,2021,F,77,1133346.0
