country,year,sex,age,death_rate
United States,2021,M,0,0.005833168979734182
United States,2021,M,1,0.00041591847548261285
United States,2021,M,2,0.0002740231284406036
United States,2021,M,3,0.00022409616212826222
United States,2021,M,4,0.00017514948558527976
United States,2021,M,5,0.00016083884111139923
United States,2021,M,6,0.00014946643204893917
United States,2021,M,7,0.0001372527185594663
United States,2021,M,8,0.00011919617099920288
United States,2021,M,9,9.7952492069453e-05
United States,2021,M,10,8.372891170438379e-05
United States,2021,M,11,9.280726226279512e-05
United States,2021,M,12,0.00014378722698893398
United States,2021,M,13,0.0002475788933224976
United States,2021,M,14,0.00039240357000380754
United States,2021,M,15,0.000555668433662504
United States,2021,M,16,0.0007194523932412267
United States,2021,M,17,0.0008846521959640086
United States,2021,M,18,0.0010441638296470046
United States,2021,M,19,0.0011988714104518294
United States,2021,M,20,0.0013608257286250591
United States,2021,M,21,0.0015267692506313324
United States,2021,M,22,0.0016776453703641891
United States,2021,M,23,0.0018053704407066107
United States,2021,M,24,0.0019145358819514513
United States,2021,M,25,0.0020147571340203285
United States,2021,M,26,0.0021163332276046276
United States,2021,M,27,0.002221296774223447
United States,2021,M,28,0.0023337623570114374
United States,2021,M,29,0.0024508037604391575
United States,2021,M,30,0.0025690607726573944
United States,2021,M,31,0.0026824427768588066
United States,2021,M,32,0.0027886757161468267
United States,2021,M,33,0.002886680420488119
United States,2021,M,34,0.0029816608875989914
United States,2021,M,35,0.0030806928407400846
United States,2021,M,36,0.003189677372574806
United States,2021,M,37,0.0033103979658335447
United States,2021,M,38,0.00344606745056808
United States,2021,M,39,0.003597174072638154
United States,2021,M,40,0.0037721397820860147
United States,2021,M,41,0.00396381039172411
United States,2021,M,42,0.004158393945544958
United States,2021,M,43,0.0043525309301912785
United States,2021,M,44,0.004559838678687811
United States,2021,M,45,0.004799496848136187
United States,2021,M,46,0.005089799873530865
United States,2021,M,47,0.005430995021015406
United States,2021,M,48,0.005818386096507311
United States,2021,M,49,0.0062408652156591415
United States,2021,M,50,0.006679444573819637
United States,2021,M,51,0.007151382975280285
United States,2021,M,52,0.00768975680693984
United States,2021,M,53,0.008316120132803917
United States,2021,M,54,0.009022964164614677
United States,2021,M,55,0.009754044003784657
United States,2021,M,56,0.010509870015084743
United States,2021,M,57,0.011349978856742382
United States,2021,M,58,0.012284765020012856
United States,2021,M,59,0.013286473229527473
United States,2021,M,60,0.014341270551085472
United States,2021,M,61,0.015401571989059448
United States,2021,M,62,0.0164368636906147
United States,2021,M,63,0.017445433884859085
United States,2021,M,64,0.018474647775292397
United States,2021,M,65,0.0195758193731308
United States,2021,M,66,0.020927274599671364
United States,2021,M,67,0.02230297029018402
United States,2021,M,68,0.023803994059562683
United States,2021,M,69,0.025382772088050842
United States,2021,M,70,0.026908043771982193
United States,2021,M,71,0.028703657910227776
United States,2021,M,72,0.030788198113441467
United States,2021,M,73,0.033360812813043594
United States,2021,M,74,0.035944003611803055
United States,2021,M,75,0.0404965877532959
United States,2021,M,76,0.044053275138139725
United States,2021,M,77,0.04880969971418381
United States,2021,M,78,0.05317326635122299
United States,2021,M,79,0.058908235281705856
United States,2021,M,80,0.06395351141691208
United States,2021,M,81,0.07031086087226868
United States,2021,M,82,0.07695848494768143
United States,2021,M,83,0.0848127156496048
United States,2021,M,84,0.0944996103644371
United States,2021,M,85,0.10431919246912003
United States,2021,M,86,0.11642839759588242
United States,2021,M,87,0.12961922585964203
United States,2021,M,88,0.1439136415719986
United States,2021,M,89,0.1593168079853058
United States,2021,M,90,0.17581412196159363
United States,2021,M,91,0.19336862862110138
United States,2021,M,92,0.2119191735982895
United States,2021,M,93,0.23137934505939484
United States,2021,M,94,0.25163766741752625
United States,2021,M,95,0.2725590765476227
United States,2021,M,96,0.29398778080940247
United States,2021,M,97,0.31575146317481995
United States,2021,M,98,0.33766648173332214
United States,2021,M,99,0.3595440983772278
United States,2021,M,100,1.0
