entity,code,year,indicator,value
China,CHN,2005,SP.POP.0014.MA.IN,141565553.0
China,CHN,2005,SP.POP.1564.FE.IN,458583642.0
China,CHN,2005,SP.POP.1564.MA.IN,477694653.0
China,CHN,2005,SP.POP.65UP.FE.IN,55552814.0
China,CHN,2005,SP.POP.65UP.MA.IN,47305850.0
China,CHN,2006,SP.POP.0014.FE.IN,119157944.0
China,CHN,2006,SP.POP.0014.MA.IN,137699446.0
China,CHN,2006,SP.POP.1564.FE.IN,464501197.0
China,CHN,2006,SP.POP.1564.MA.IN,484073652.0
China,CHN,2006,SP.POP.65UP.FE.IN,56963063.0
China,CHN,2006,SP.POP.65UP.MA.IN,48624698.0
China,CHN,2007,SP.POP.0014.FE.IN,116986939.0
China,CHN,2007,SP.POP.0014.MA.IN,135652293.0
China,CHN,2007,SP.POP.1564.FE.IN,468532529.0
China,CHN,2007,SP.POP.1564.MA.IN,488480796.0
China,CHN,2007,SP.POP.65UP.FE.IN,58348040.0
China,CHN,2007,SP.POP.65UP.MA.IN,49884402.0
China,CHN,2008,SP.POP.0014.FE.IN,115551567.0
China,CHN,2008,SP.POP.0014.MA.IN,134367581.0
China,CHN,2008,SP.POP.1564.FE.IN,471866968.0
China,CHN,2008,SP.POP.1564.MA.IN,492189284.0
China,CHN,2008,SP.POP.65UP.FE.IN,59646286.0
China,CHN,2008,SP.POP.65UP.MA.IN,51033314.0
China,CHN,2009,SP.POP.0014.FE.IN,114629596.0
China,CHN,2009,SP.POP.0014.MA.IN,133592500.0
China,CHN,2009,SP.POP.1564.FE.IN,474608187.0
China,CHN,2009,SP.POP.1564.MA.IN,495296860.0
China,CHN,2009,SP.POP.65UP.FE.IN,60963102.0
China,CHN,2009,SP.POP.65UP.MA.IN,52169754.0
China,CHN,2010,SP.POP.0014.FE.IN,114023692.0
China,CHN,2010,SP.POP.0014.MA.IN,133104596.0
China,CHN,2010,SP.POP.1564.FE.IN,476804884.0
China,CHN,2010,SP.POP.1564.MA.IN,497906891.0
China,CHN,2010,SP.POP.65UP.FE.IN,62442512.0
China,CHN,2010,SP.POP.65UP.MA.IN,53422425.0
China,CHN,2011,SP.POP.0014.FE.IN,113760778.0
China,CHN,2011,SP.POP.0014.MA.IN,132945713.0
China,CHN,2011,SP.POP.1564.FE.IN,478808788.0
China,CHN,2011,SP.POP.1564.MA.IN,500360801.0
China,CHN,2011,SP.POP.65UP.FE.IN,64232738.0
China,CHN,2011,SP.POP.65UP.MA.IN,54926182.0
China,CHN,2012,SP.POP.0014.FE.IN,114221536.0
China,CHN,2012,SP.POP.0014.MA.IN,133559486.0
China,CHN,2012,SP.POP.1564.FE.IN,480683034.0
China,CHN,2012,SP.POP.1564.MA.IN,502640881.0
China,CHN,2012,SP.POP.65UP.FE.IN,66347000.0
China,CHN,2012,SP.POP.65UP.MA.IN,56738063.0
China,CHN,2013,SP.POP.0014.FE.IN,115032979.0
China,CHN,2013,SP.POP.0014.MA.IN,134513565.0
China,CHN,2013,SP.POP.1564.FE.IN,481872619.0
China,CHN,2013,SP.POP.1564.MA.IN,504272441.0
China,CHN,2013,SP.POP.65UP.FE.IN,68764418.0
China,CHN,2013,SP.POP.65UP.MA.IN,58783979.0
China,CHN,2014,SP.POP.0014.FE.IN,115934852.0
China,CHN,2014,SP.POP.0014.MA.IN,135508368.0
China,CHN,2014,SP.POP.1564.FE.IN,482416155.0
China,CHN,2014,SP.POP.1564.MA.IN,505393911.0
China,CHN,2014,SP.POP.65UP.FE.IN,71561625.0
China,CHN,2014,SP.POP.65UP.MA.IN,61045089.0
China,CHN,2015,SP.POP.0014.FE.IN,116598306.0
China,CHN,2015,SP.POP.0014.MA.IN,136166443.0
China,CHN,2015,SP.POP.1564.FE.IN,482310233.0
China,CHN,2015,SP.POP.1564.MA.IN,506061884.0
China,CHN,2015,SP.POP.65UP.FE.IN,74985982.0
China,CHN,2015,SP.POP.65UP.MA.IN,63737152.0
China,CHN,2016,SP.POP.0014.FE.IN,117265048.0
China,CHN,2016,SP.POP.0014.MA.IN,136766415.0
China,CHN,2016,SP.POP.1564.FE.IN,481766703.0
China,CHN,2016,SP.POP.1564.MA.IN,506401569.0
China,CHN,2016,SP.POP.65UP.FE.IN,78854392.0
China,CHN,2016,SP.POP.65UP.MA.IN,66735874.0
China,CHN,2017,SP.POP.0014.FE.IN,118414970.0
China,CHN,2017,SP.POP.0014.MA.IN,137834145.0
China,CHN,2017,SP.POP.1564.FE.IN,480570825.0
China,CHN,2017,SP.POP.1564.MA.IN,506077240.0
China,CHN,2017,SP.POP.65UP.FE.IN,83219915.0
China,CHN,2017,SP.POP.65UP.MA.IN,70097905.0
China,CHN,2018,SP.POP.0014.FE.IN,118944248.0
China,CHN,2018,SP.POP.0014.MA.IN,138160262.0
China,CHN,2018,SP.POP.1564.FE.IN,478854987.0
China,CHN,2018,SP.POP.1564.MA.IN,505255727.0
China,CHN,2018,SP.POP.65UP.FE.IN,87861604.0
China,CHN,2018,SP.POP.65UP.MA.IN,73683173.0
China,CHN,2019,SP.POP.0014.FE.IN,118628253.0
China,CHN,2019,SP.POP.0014.MA.IN,137545881.0
China,CHN,2019,SP.POP.1564.FE.IN,477216790.0
China,CHN,2019,SP.POP.1564.MA.IN,504560800.0
China,CHN,2019,SP.POP.65UP.FE.IN,92487638.0
China,CHN,2019,SP.POP.65UP.MA.IN,77305638.0
China,CHN,2020,SP.POP.0014.FE.IN,117469494.0
China,CHN,2020,SP.POP.0014.MA.IN,135891217.0
China,CHN,2020,SP.POP.1564.FE.IN,475507276.0
China,CHN,2020,SP.POP.1564.MA.IN,503795065.0
China,CHN,2020,SP.POP.65UP.FE.IN,97336695.0
China,CHN,2020,SP.POP.65UP.MA.IN,81100253.0
China,CHN,2021,SP.POP.0014.FE.IN,115312089.0
China,CHN,2021,SP.POP.0014.MA.IN,133006985.0
China,CHN,2021,SP.POP.1564.FE.IN,474157496.0
China,CHN,2021,SP.POP.1564.MA.IN,503370826.0
China,CHN,2021,SP.POP.65UP.FE.IN,101883426.0
China,CHN,2021,SP.POP.65UP.MA.IN,84629178.0
China,CHN,2022,SP.POP.0014.FE.IN,112459348.0
China,CHN,2022,SP.POP.0014.MA.IN,129330427.0
China,CHN,2022,SP.POP.1564.FE.IN,472794096.0
China,CHN,2022,SP.POP.1564.MA.IN,502966153.0
China,CHN,2022,SP.POP.65UP.FE.IN,106465255.0
China,CHN,2022,SP.POP.65UP.MA.IN,88159720.0
China,CHN,2023,SP.POP.0014.FE.IN,109022006.0
China,CHN,2023,SP.POP.0014.MA.IN,125009291.0
China,CHN,2023,SP.POP.1564.FE.IN,471798189.0
China,CHN,2023,SP.POP.1564.MA.IN,502922178.0
China,CHN,2023,SP.POP.65UP.FE.IN,110720269.0
China,CHN,2023,SP.POP.65UP.MA.IN,91238067.0
India,IND,1990,SP.POP.0014.FE.IN,160198183.0
India,IND,1990,SP.POP.0014.MA.IN,173337047.0
India,IND,1990,SP.POP.1564.FE.IN,239522996.0
India,IND,1990,SP.POP.1564.MA.IN,256987537.0
India,IND,1990,SP.POP.65UP.FE.IN,18229464.0
India,IND,1990,SP.POP.65UP.MA.IN,16696994.0
India,IND,1991,SP.POP.0014.FE.IN,162767976.0
India,IND,1991,SP.POP.0014.MA.IN,176227043.0
India,IND,1991,SP.POP.1564.FE.IN,245608173.0
India,IND,1991,SP.POP.1564.MA.IN,263450966.0
India,IND,1991,SP.POP.65UP.FE.IN,18773459.0
India,IND,1991,SP.POP.65UP.MA.IN,17099983.0
India,IND,1992,SP.POP.0014.FE.IN,165241595.0
India,IND,1992,SP.POP.0014.MA.IN,179028542.0
India,IND,1992,SP.POP.1564.FE.IN,251782015.0
India,IND,1992,SP.POP.1564.MA.IN,270033512.0
India,IND,1992,SP.POP.65UP.FE.IN,19338191.0
India,IND,1992,SP.POP.65UP.MA.IN,17533214.0
India,IND,1993,SP.POP.0014.FE.IN,167629491.0
India,IND,1993,SP.POP.0014.MA.IN,181757703.0
India,IND,1993,SP.POP.1564.FE.IN,258060685.0
India,IND,1993,SP.POP.1564.MA.IN,276748547.0
India,IND,1993,SP.POP.65UP.FE.IN,19925317.0
India,IND,1993,SP.POP.65UP.MA.IN,17996644.0
India,IND,1994,SP.POP.0014.FE.IN,169861080.0
India,IND,1994,SP.POP.0014.MA.IN,184350516.0
India,IND,1994,SP.POP.1564.FE.IN,264381336.0
India,IND,1994,SP.POP.1564.MA.IN,283548404.0
India,IND,1994,SP.POP.65UP.FE.IN,20537189.0
India,IND,1994,SP.POP.65UP.MA.IN,18485241.0
India,IND,1995,SP.POP.0014.FE.IN,171897527.0
India,IND,1995,SP.POP.0014.MA.IN,186758604.0
India,IND,1995,SP.POP.1564.FE.IN,270882805.0
India,IND,1995,SP.POP.1564.MA.IN,290587345.0
India,IND,1995,SP.POP.65UP.FE.IN,21176012.0
India,IND,1995,SP.POP.65UP.MA.IN,18998751.0
India,IND,1996,SP.POP.0014.FE.IN,173751464.0
India,IND,1996,SP.POP.0014.MA.IN,188973319.0
India,IND,1996,SP.POP.1564.FE.IN,277639883.0
India,IND,1996,SP.POP.1564.MA.IN,297934332.0
India,IND,1996,SP.POP.65UP.FE.IN,21841764.0
India,IND,1996,SP.POP.65UP.MA.IN,19537697.0
India,IND,1997,SP.POP.0014.FE.IN,175459052.0
India,IND,1997,SP.POP.0014.MA.IN,191036879.0
India,IND,1997,SP.POP.1564.FE.IN,284547205.0
India,IND,1997,SP.POP.1564.MA.IN,305457748.0
India,IND,1997,SP.POP.65UP.FE.IN,22534048.0
India,IND,1997,SP.POP.65UP.MA.IN,20098831.0
India,IND,1998,SP.POP.0014.FE.IN,177018108.0
India,IND,1998,SP.POP.0014.MA.IN,192957115.0
India,IND,1998,SP.POP.1564.FE.IN,291608868.0
India,IND,1998,SP.POP.1564.MA.IN,313147229.0
India,IND,1998,SP.POP.65UP.FE.IN,23252912.0
India,IND,1998,SP.POP.65UP.MA.IN,20680847.0
India,IND,1999,SP.POP.0014.FE.IN,178415478.0
India,IND,1999,SP.POP.0014.MA.IN,194704669.0
India,IND,1999,SP.POP.1564.FE.IN,298826025.0
India,IND,1999,SP.POP.1564.MA.IN,321000227.0
India,IND,1999,SP.POP.65UP.FE.IN,23996149.0
