initial_resources,initial_children,generations,survival_to_final_generation,extinction_before_final_generation,mean_final_generation_descendants,median_final_generation_descendants,mean_total_descendants,occupational_persistence_rate,material_deadline,capital_deadline,trials
100.0,1,4,0.156,0.844,0.4916,0.0,4.2066,0.20857,58.0,0.4908,5000
100.0,2,4,0.0298,0.9702,0.0774,0.0,3.0802,0.20367,58.0,0.4908,5000
100.0,3,4,0.008,0.992,0.017,0.0,3.6688,0.21083,58.0,0.4908,5000
