initial_resources,initial_children,generations,survival_to_final_generation,extinction_before_final_generation,mean_final_generation_descendants,median_final_generation_descendants,mean_total_descendants,occupational_persistence_rate,material_deadline,capital_deadline,trials
100.0,1,4,0.7837,0.2163,6.427,6.0,14.0109,0.17965,20.0,0.34,10000
100.0,2,4,0.8582,0.1418,6.5905,6.0,17.7578,0.19102,20.0,0.34,10000
100.0,3,4,0.8453,0.1547,5.8,5.0,18.8871,0.19887,20.0,0.34,10000
