year,country,policy,population,households,living_clans,births,deaths,migrants,mean_children_per_completed_family,mean_child_investment,upward_mobility_rate,high_status_share,median_household_resources,bottom_clan_extinction_share,below_deadline_share,occupational_persistence_rate,precarious_inheritance_rate,fertility_realization_gap,political_occupation_share,medical_occupation_share,precarious_occupation_share,unemployment_rate,injury_rate,homeownership_rate,licensed_physician_share,state_sector_share,political_dynasty_share,faction_concentration,elite_marriage_share
1976,CHN,晚、稀、少,1517,300,300,15,3,11,0.0,4.1771,0.15385,0.00498,43.5514,0.0,0.3184,0.53846,0.5,1.52528,0.0,0.02156,0.12935,0.05804,0.01327,0.53,0.02156,0.09453,0.0,0,0.0
1976,IND,国家家庭福利/计划生育项目（简化）,1626,298,300,26,2,4,0.0,2.6328,0.21429,0.0033,39.7991,0.0,0.17848,0.28571,0.25,1.60051,0.0,0.033,0.13531,0.06931,0.02475,0.75839,0.033,0.10891,0.0,0,0.0
1976,JPN,无专项生育限制,403,123,120,2,0,7,0.0,38.1502,0.0,0.04,184.8904,0.0,0.05096,0.5,0.0,0.28648,0.0,0.056,0.076,0.04,0.008,0.56098,0.056,0.168,0.0,0,0.01626
1976,USA,无专项生育限制,692,201,200,6,0,0,0.0,30.5216,0.0,0.02963,211.7637,0.0,0.11877,0.2,0.0,0.28395,0.0,0.03457,0.08889,0.05432,0.01728,0.59701,0.03457,0.14074,0.0,0,0.005
1977,CHN,晚、稀、少,1533,302,300,18,2,0,2.875,3.9695,0.27273,0.00489,39.9161,0.0,0.36476,0.45833,0.25,1.48571,0.0,0.02121,0.13214,0.0522,0.01958,0.53311,0.02121,0.10114,0.0,0,0.0
1977,IND,国家家庭福利/计划生育项目（简化）,1650,302,300,25,1,0,3.3684,2.4643,0.04,0.00317,34.6671,0.0,0.19747,0.25641,0.16667,1.58442,0.0,0.0317,0.13629,0.06181,0.02694,0.75166,0.0317,0.11727,0.0,0,0.0
1977,JPN,无专项生育限制,407,125,120,4,0,0,0.9091,37.3253,0.0,0.03953,186.5724,0.0,0.05714,0.57143,0.0,0.26663,0.0,0.05534,0.07905,0.04743,0.00791,0.568,0.05534,0.16601,0.0,0,0.016
1977,USA,无专项生育限制,696,201,200,4,0,0,1.2273,31.3326,0.2,0.02927,214.7125,0.0,0.1281,0.1,0.0,0.26617,0.0,0.03415,0.09512,0.05122,0.01951,0.59701,0.03415,0.14146,0.0,0,0.005
1978,CHN,晚、稀、少,1541,302,300,10,2,0,2.7419,3.7965,0.04762,0.00474,33.4896,0.0,0.4047,0.44444,0.4,1.44748,0.0,0.02054,0.13586,0.05213,0.02212,0.53311,0.02054,0.09953,0.0,0,0.0
1978,IND,国家家庭福利/计划生育项目（简化）,1667,304,300,21,4,0,3.1842,2.2834,0.06667,0.00311,29.732,0.0,0.22314,0.33333,0.18182,1.54696,0.0,0.03106,0.13975,0.05435,0.03106,0.75,0.03106,0.11801,0.0,0,0.0
1978,JPN,无专项生育限制,408,126,120,2,1,0,1.1364,37.9797,0.0,0.03861,185.141,0.0,0.0625,0.38462,0.0,0.25456,0.0,0.05405,0.07336,0.02317,0.00772,0.57143,0.05405,0.16988,0.0,0,0.01587
1978,USA,无专项生育限制,700,205,200,4,0,0,1.3529,32.216,0.18182,0.03088,214.3343,0.0,0.13248,0.19048,0.5,0.26293,0.0,0.03325,0.09264,0.04038,0.019,0.6,0.03325,0.14252,0.0,0,0.0
