initial_resources,initial_children,generations,survival_to_final_generation,extinction_before_final_generation,mean_final_generation_descendants,median_final_generation_descendants,mean_total_descendants,occupational_persistence_rate,material_deadline,capital_deadline,trials
100.0,1,4,0.1623,0.8377,0.5083,0.0,4.2232,0.20731,58.0,0.4908,10000
100.0,2,4,0.0289,0.9711,0.0774,0.0,3.1009,0.20819,58.0,0.4908,10000
100.0,3,4,0.0097,0.9903,0.0231,0.0,3.673,0.20921,58.0,0.4908,10000
